distrikt_kod,year,val,party,share,roster
01140101,2014,RD,V,6.92,1011
01140101,2014,RD,S,31.55,1011
01140101,2014,RD,MP,9.0,1011
01140101,2014,RD,C,5.64,1011
01140101,2014,RD,L,6.63,1011
01140101,2014,RD,KD,4.55,1011
01140101,2014,RD,M,20.08,1011
01140101,2014,RD,SD,11.18,1011
01140102,2014,RD,V,4.79,919
01140102,2014,RD,S,31.01,919
01140102,2014,RD,MP,9.14,919
01140102,2014,RD,C,4.13,919
01140102,2014,RD,L,6.31,919
01140102,2014,RD,KD,4.13,919
01140102,2014,RD,M,26.99,919
01140102,2014,RD,SD,9.36,919
01140121,2014,RD,V,7.57,885
01140121,2014,RD,S,32.88,885
01140121,2014,RD,MP,10.06,885
01140121,2014,RD,C,2.71,885
01140121,2014,RD,L,5.54,885
01140121,2014,RD,KD,3.16,885
01140121,2014,RD,M,21.81,885
01140121,2014,RD,SD,11.3,885
01140203,2014,RD,V,5.08,1338
01140203,2014,RD,S,32.96,1338
01140203,2014,RD,MP,7.7,1338
01140203,2014,RD,C,3.89,1338
01140203,2014,RD,L,5.01,1338
01140203,2014,RD,KD,4.33,1338
01140203,2014,RD,M,26.98,1338
01140203,2014,RD,SD,10.01,1338
01140204,2014,RD,V,4.02,796
01140204,2014,RD,S,24.37,796
01140204,2014,RD,MP,6.03,796
01140204,2014,RD,C,5.03,796
01140204,2014,RD,L,6.91,796
01140204,2014,RD,KD,5.03,796
01140204,2014,RD,M,31.78,796
01140204,2014,RD,SD,14.57,796
01140205,2014,RD,V,6.04,1143
01140205,2014,RD,S,33.51,1143
01140205,2014,RD,MP,6.56,1143
01140205,2014,RD,C,2.71,1143
01140205,2014,RD,L,6.82,1143
01140205,2014,RD,KD,4.2,1143
01140205,2014,RD,M,25.63,1143
01140205,2014,RD,SD,10.32,1143
01140206,2014,RD,V,9.58,887
01140206,2014,RD,S,40.36,887
01140206,2014,RD,MP,7.33,887
01140206,2014,RD,C,2.03,887
01140206,2014,RD,L,4.17,887
01140206,2014,RD,KD,4.51,887
01140206,2014,RD,M,14.88,887
01140206,2014,RD,SD,12.51,887
01140210,2014,RD,V,9.39,1076
01140210,2014,RD,S,39.13,1076
01140210,2014,RD,MP,6.51,1076
01140210,2014,RD,C,3.25,1076
01140210,2014,RD,L,4.37,1076
01140210,2014,RD,KD,2.42,1076
01140210,2014,RD,M,17.84,1076
01140210,2014,RD,SD,12.36,1076
01140211,2014,RD,V,5.34,1012
01140211,2014,RD,S,29.64,1012
01140211,2014,RD,MP,5.83,1012
01140211,2014,RD,C,3.75,1012
01140211,2014,RD,L,6.32,1012
01140211,2014,RD,KD,5.14,1012
01140211,2014,RD,M,27.96,1012
01140211,2014,RD,SD,13.24,1012
01140218,2014,RD,V,8.2,1012
01140218,2014,RD,S,28.46,1012
01140218,2014,RD,MP,8.1,1012
01140218,2014,RD,C,2.57,1012
01140218,2014,RD,L,6.92,1012
01140218,2014,RD,KD,3.85,1012
01140218,2014,RD,M,28.16,1012
01140218,2014,RD,SD,9.39,1012
01140223,2014,RD,V,5.22,939
01140223,2014,RD,S,26.09,939
01140223,2014,RD,MP,6.6,939
01140223,2014,RD,C,4.79,939
01140223,2014,RD,L,5.32,939
01140223,2014,RD,KD,3.73,939
01140223,2014,RD,M,32.8,939
01140223,2014,RD,SD,12.14,939
01140313,2014,RD,V,3.39,945
01140313,2014,RD,S,24.44,945
01140313,2014,RD,MP,5.61,945
01140313,2014,RD,C,3.81,945
01140313,2014,RD,L,7.83,945
01140313,2014,RD,KD,5.29,945
01140313,2014,RD,M,37.04,945
01140313,2014,RD,SD,10.37,945
01140001,2014,RD,V,6.01,449
01140001,2014,RD,S,32.52,449
01140001,2014,RD,MP,9.8,449
01140001,2014,RD,C,3.12,449
01140001,2014,RD,L,5.79,449
01140001,2014,RD,KD,4.9,449
01140001,2014,RD,M,20.49,449
01140001,2014,RD,SD,10.69,449
01140120,2014,RD,V,7.38,1151
01140120,2014,RD,S,38.4,1151
01140120,2014,RD,MP,9.38,1151
01140120,2014,RD,C,2.35,1151
01140120,2014,RD,L,4.08,1151
01140120,2014,RD,KD,3.48,1151
01140120,2014,RD,M,19.55,1151
01140120,2014,RD,SD,12.16,1151
01140207,2014,RD,V,3.92,1046
01140207,2014,RD,S,23.8,1046
01140207,2014,RD,MP,4.59,1046
01140207,2014,RD,C,3.92,1046
01140207,2014,RD,L,7.27,1046
01140207,2014,RD,KD,6.12,1046
01140207,2014,RD,M,41.68,1046
01140207,2014,RD,SD,6.5,1046
01140208,2014,RD,V,10.4,1048
01140208,2014,RD,S,50.48,1048
01140208,2014,RD,MP,6.68,1048
01140208,2014,RD,C,2.1,1048
01140208,2014,RD,L,2.86,1048
01140208,2014,RD,KD,2.58,1048
01140208,2014,RD,M,12.5,1048
01140208,2014,RD,SD,8.4,1048
01140209,2014,RD,V,10.94,1015
01140209,2014,RD,S,41.87,1015
01140209,2014,RD,MP,7.49,1015
01140209,2014,RD,C,1.38,1015
01140209,2014,RD,L,2.86,1015
01140209,2014,RD,KD,2.17,1015
01140209,2014,RD,M,13.6,1015
01140209,2014,RD,SD,15.47,1015
01140212,2014,RD,V,7.65,1215
01140212,2014,RD,S,39.26,1215
01140212,2014,RD,MP,5.1,1215
01140212,2014,RD,C,2.88,1215
01140212,2014,RD,L,3.54,1215
01140212,2014,RD,KD,3.7,1215
01140212,2014,RD,M,19.09,1215
01140212,2014,RD,SD,14.98,1215
01140314,2014,RD,V,2.39,1298
01140314,2014,RD,S,13.94,1298
01140314,2014,RD,MP,5.7,1298
01140314,2014,RD,C,6.24,1298
01140314,2014,RD,L,11.94,1298
01140314,2014,RD,KD,7.16,1298
01140314,2014,RD,M,42.6,1298
01140314,2014,RD,SD,8.17,1298
01140315,2014,RD,V,1.85,1029
01140315,2014,RD,S,27.89,1029
01140315,2014,RD,MP,6.41,1029
01140315,2014,RD,C,5.64,1029
01140315,2014,RD,L,7.48,1029
01140315,2014,RD,KD,5.15,1029
01140315,2014,RD,M,35.67,1029
01140315,2014,RD,SD,7.77,1029
01140316,2014,RD,V,3.73,1501
01140316,2014,RD,S,25.52,1501
01140316,2014,RD,MP,5.33,1501
01140316,2014,RD,C,3.86,1501
01140316,2014,RD,L,6.66,1501
01140316,2014,RD,KD,4.93,1501
01140316,2014,RD,M,37.91,1501
01140316,2014,RD,SD,9.99,1501
01140317,2014,RD,V,3.62,995
01140317,2014,RD,S,17.69,995
01140317,2014,RD,MP,7.04,995
01140317,2014,RD,C,5.43,995
01140317,2014,RD,L,7.94,995
01140317,2014,RD,KD,5.03,995
01140317,2014,RD,M,40.1,995
01140317,2014,RD,SD,10.95,995
01140322,2014,RD,V,3.34,1466
01140322,2014,RD,S,18.69,1466
01140322,2014,RD,MP,4.5,1466
01140322,2014,RD,C,4.16,1466
01140322,2014,RD,L,6.89,1466
01140322,2014,RD,KD,6.0,1466
01140322,2014,RD,M,42.84,1466
01140322,2014,RD,SD,11.8,1466
01140002,2014,RD,V,5.41,351
01140002,2014,RD,S,29.34,351
01140002,2014,RD,MP,9.97,351
01140002,2014,RD,C,3.99,351
01140002,2014,RD,L,6.27,351
01140002,2014,RD,KD,4.27,351
01140002,2014,RD,M,28.77,351
01140002,2014,RD,SD,7.41,351
01150101,2014,RD,V,2.4,751
01150101,2014,RD,S,12.92,751
01150101,2014,RD,MP,4.39,751
01150101,2014,RD,C,7.46,751
01150101,2014,RD,L,8.26,751
01150101,2014,RD,KD,7.46,751
01150101,2014,RD,M,44.34,751
01150101,2014,RD,SD,10.39,751
01150102,2014,RD,V,2.76,1521
01150102,2014,RD,S,17.16,1521
01150102,2014,RD,MP,7.76,1521
01150102,2014,RD,C,12.29,1521
01150102,2014,RD,L,5.59,1521
01150102,2014,RD,KD,4.08,1521
01150102,2014,RD,M,34.52,1521
01150102,2014,RD,SD,11.11,1521
01150103,2014,RD,V,1.58,1269
01150103,2014,RD,S,14.74,1269
01150103,2014,RD,MP,6.38,1269
01150103,2014,RD,C,5.99,1269
01150103,2014,RD,L,10.4,1269
01150103,2014,RD,KD,5.75,1269
01150103,2014,RD,M,43.58,1269
01150103,2014,RD,SD,8.51,1269
01150104,2014,RD,V,3.76,1250
01150104,2014,RD,S,27.2,1250
01150104,2014,RD,MP,9.6,1250
01150104,2014,RD,C,4.88,1250
01150104,2014,RD,L,6.56,1250
01150104,2014,RD,KD,4.24,1250
01150104,2014,RD,M,29.36,1250
01150104,2014,RD,SD,11.36,1250
01150105,2014,RD,V,2.29,1137
01150105,2014,RD,S,18.47,1137
01150105,2014,RD,MP,6.24,1137
01150105,2014,RD,C,7.12,1137
01150105,2014,RD,L,8.36,1137
01150105,2014,RD,KD,5.1,1137
01150105,2014,RD,M,37.64,1137
01150105,2014,RD,SD,10.64,1137
01150106,2014,RD,V,2.76,1412
01150106,2014,RD,S,18.34,1412
01150106,2014,RD,MP,8.92,1412
01150106,2014,RD,C,6.37,1412
01150106,2014,RD,L,6.44,1412
01150106,2014,RD,KD,5.67,1412
01150106,2014,RD,M,37.25,1412
01150106,2014,RD,SD,11.54,1412
01150107,2014,RD,V,3.86,803
01150107,2014,RD,S,33.13,803
01150107,2014,RD,MP,8.47,803
01150107,2014,RD,C,3.86,803
01150107,2014,RD,L,5.48,803
01150107,2014,RD,KD,3.86,803
01150107,2014,RD,M,21.67,803
01150107,2014,RD,SD,14.69,803
01150108,2014,RD,V,4.64,1402
01150108,2014,RD,S,29.96,1402
01150108,2014,RD,MP,9.2,1402
01150108,2014,RD,C,5.14,1402
01150108,2014,RD,L,5.42,1402
01150108,2014,RD,KD,4.21,1402
01150108,2014,RD,M,27.82,1402
01150108,2014,RD,SD,9.77,1402
01150109,2014,RD,V,5.53,597
01150109,2014,RD,S,36.35,597
01150109,2014,RD,MP,10.22,597
01150109,2014,RD,C,3.02,597
01150109,2014,RD,L,3.85,597
01150109,2014,RD,KD,3.18,597
01150109,2014,RD,M,22.78,597
01150109,2014,RD,SD,10.89,597
01150110,2014,RD,V,2.32,1250
01150110,2014,RD,S,17.44,1250
01150110,2014,RD,MP,7.36,1250
01150110,2014,RD,C,6.4,1250
01150110,2014,RD,L,7.84,1250
01150110,2014,RD,KD,7.12,1250
01150110,2014,RD,M,39.28,1250
01150110,2014,RD,SD,8.24,1250
01150111,2014,RD,V,2.51,1593
01150111,2014,RD,S,13.87,1593
01150111,2014,RD,MP,7.97,1593
01150111,2014,RD,C,7.47,1593
01150111,2014,RD,L,8.98,1593
01150111,2014,RD,KD,6.78,1593
01150111,2014,RD,M,41.93,1593
01150111,2014,RD,SD,7.03,1593
01150112,2014,RD,V,3.99,1229
01150112,2014,RD,S,18.14,1229
01150112,2014,RD,MP,7.97,1229
01150112,2014,RD,C,8.06,1229
01150112,2014,RD,L,4.8,1229
01150112,2014,RD,KD,3.74,1229
01150112,2014,RD,M,38.73,1229
01150112,2014,RD,SD,10.9,1229
01150113,2014,RD,V,2.14,1404
01150113,2014,RD,S,14.96,1404
01150113,2014,RD,MP,8.12,1404
01150113,2014,RD,C,6.13,1404
01150113,2014,RD,L,9.4,1404
01150113,2014,RD,KD,5.13,1404
01150113,2014,RD,M,43.09,1404
01150113,2014,RD,SD,8.48,1404
01150114,2014,RD,V,3.16,760
01150114,2014,RD,S,21.58,760
01150114,2014,RD,MP,9.87,760
01150114,2014,RD,C,4.47,760
01150114,2014,RD,L,8.03,760
01150114,2014,RD,KD,3.95,760
01150114,2014,RD,M,37.37,760
01150114,2014,RD,SD,9.34,760
01150115,2014,RD,V,3.51,1312
01150115,2014,RD,S,17.23,1312
01150115,2014,RD,MP,9.22,1312
01150115,2014,RD,C,6.48,1312
01150115,2014,RD,L,7.47,1312
01150115,2014,RD,KD,4.95,1312
01150115,2014,RD,M,38.87,1312
01150115,2014,RD,SD,9.76,1312
01150116,2014,RD,V,4.44,834
01150116,2014,RD,S,17.03,834
01150116,2014,RD,MP,8.51,834
01150116,2014,RD,C,8.99,834
01150116,2014,RD,L,4.44,834
01150116,2014,RD,KD,3.0,834
01150116,2014,RD,M,35.61,834
01150116,2014,RD,SD,13.55,834
01150117,2014,RD,V,5.77,763
01150117,2014,RD,S,18.22,763
01150117,2014,RD,MP,8.26,763
01150117,2014,RD,C,9.57,763
01150117,2014,RD,L,3.8,763
01150117,2014,RD,KD,3.01,763
01150117,2014,RD,M,32.9,763
01150117,2014,RD,SD,14.94,763
01150000,2014,RD,V,3.8,764
01150000,2014,RD,S,16.36,764
01150000,2014,RD,MP,11.39,764
01150000,2014,RD,C,5.37,764
01150000,2014,RD,L,7.33,764
01150000,2014,RD,KD,4.71,764
01150000,2014,RD,M,35.73,764
01150000,2014,RD,SD,9.95,764
01170201,2014,RD,V,4.68,1261
01170201,2014,RD,S,30.53,1261
01170201,2014,RD,MP,10.15,1261
01170201,2014,RD,C,4.04,1261
01170201,2014,RD,L,5.47,1261
01170201,2014,RD,KD,3.57,1261
01170201,2014,RD,M,24.58,1261
01170201,2014,RD,SD,12.77,1261
01170202,2014,RD,V,5.56,1062
01170202,2014,RD,S,39.36,1062
01170202,2014,RD,MP,7.91,1062
01170202,2014,RD,C,1.88,1062
01170202,2014,RD,L,4.71,1062
01170202,2014,RD,KD,3.11,1062
01170202,2014,RD,M,19.87,1062
01170202,2014,RD,SD,12.99,1062
01170204,2014,RD,V,4.63,1122
01170204,2014,RD,S,27.81,1122
01170204,2014,RD,MP,8.11,1122
01170204,2014,RD,C,4.37,1122
01170204,2014,RD,L,8.2,1122
01170204,2014,RD,KD,3.39,1122
01170204,2014,RD,M,29.68,1122
01170204,2014,RD,SD,11.41,1122
01170209,2014,RD,V,2.84,1128
01170209,2014,RD,S,19.41,1128
01170209,2014,RD,MP,5.59,1128
01170209,2014,RD,C,7.54,1128
01170209,2014,RD,L,9.66,1128
01170209,2014,RD,KD,6.29,1128
01170209,2014,RD,M,35.55,1128
01170209,2014,RD,SD,10.9,1128
01170210,2014,RD,V,3.91,971
01170210,2014,RD,S,22.55,971
01170210,2014,RD,MP,8.14,971
01170210,2014,RD,C,4.02,971
01170210,2014,RD,L,8.34,971
01170210,2014,RD,KD,4.53,971
01170210,2014,RD,M,36.35,971
01170210,2014,RD,SD,10.2,971
01170211,2014,RD,V,4.53,1147
01170211,2014,RD,S,23.28,1147
01170211,2014,RD,MP,10.03,1147
01170211,2014,RD,C,5.93,1147
01170211,2014,RD,L,6.71,1147
01170211,2014,RD,KD,5.14,1147
01170211,2014,RD,M,32.43,1147
01170211,2014,RD,SD,9.59,1147
01170212,2014,RD,V,4.11,1240
01170212,2014,RD,S,20.97,1240
01170212,2014,RD,MP,6.85,1240
01170212,2014,RD,C,6.37,1240
01170212,2014,RD,L,6.29,1240
01170212,2014,RD,KD,2.98,1240
01170212,2014,RD,M,36.94,1240
01170212,2014,RD,SD,12.34,1240
01170215,2014,RD,V,6.43,482
01170215,2014,RD,S,21.58,482
01170215,2014,RD,MP,9.96,482
01170215,2014,RD,C,5.6,482
01170215,2014,RD,L,8.71,482
01170215,2014,RD,KD,3.94,482
01170215,2014,RD,M,33.2,482
01170215,2014,RD,SD,6.64,482
01170221,2014,RD,V,3.26,1013
01170221,2014,RD,S,16.09,1013
01170221,2014,RD,MP,10.17,1013
01170221,2014,RD,C,8.88,1013
01170221,2014,RD,L,8.19,1013
01170221,2014,RD,KD,5.13,1013
01170221,2014,RD,M,38.6,1013
01170221,2014,RD,SD,6.71,1013
01170222,2014,RD,V,5.68,915
01170222,2014,RD,S,26.23,915
01170222,2014,RD,MP,9.18,915
01170222,2014,RD,C,3.83,915
01170222,2014,RD,L,4.48,915
01170222,2014,RD,KD,4.81,915
01170222,2014,RD,M,28.2,915
01170222,2014,RD,SD,13.66,915
01170313,2014,RD,V,3.63,1157
01170313,2014,RD,S,20.74,1157
01170313,2014,RD,MP,4.24,1157
01170313,2014,RD,C,7.26,1157
01170313,2014,RD,L,4.84,1157
01170313,2014,RD,KD,5.45,1157
01170313,2014,RD,M,38.03,1157
01170313,2014,RD,SD,14.52,1157
01170001,2014,RD,V,3.07,716
01170001,2014,RD,S,24.3,716
01170001,2014,RD,MP,8.38,716
01170001,2014,RD,C,5.87,716
01170001,2014,RD,L,4.61,716
01170001,2014,RD,KD,4.19,716
01170001,2014,RD,M,33.24,716
01170001,2014,RD,SD,12.57,716
01170203,2014,RD,V,2.77,1337
01170203,2014,RD,S,13.61,1337
01170203,2014,RD,MP,6.28,1337
01170203,2014,RD,C,6.28,1337
01170203,2014,RD,L,9.95,1337
01170203,2014,RD,KD,5.24,1337
01170203,2014,RD,M,45.62,1337
01170203,2014,RD,SD,8.45,1337
01170205,2014,RD,V,3.06,1372
01170205,2014,RD,S,19.75,1372
01170205,2014,RD,MP,8.24,1372
01170205,2014,RD,C,7.65,1372
01170205,2014,RD,L,8.6,1372
01170205,2014,RD,KD,5.83,1372
01170205,2014,RD,M,38.85,1372
01170205,2014,RD,SD,5.39,1372
01170206,2014,RD,V,1.78,1631
01170206,2014,RD,S,9.14,1631
01170206,2014,RD,MP,6.56,1631
01170206,2014,RD,C,6.56,1631
01170206,2014,RD,L,11.28,1631
01170206,2014,RD,KD,7.36,1631
01170206,2014,RD,M,49.85,1631
01170206,2014,RD,SD,5.64,1631
01170207,2014,RD,V,1.76,1476
01170207,2014,RD,S,13.89,1476
01170207,2014,RD,MP,6.78,1476
01170207,2014,RD,C,4.27,1476
01170207,2014,RD,L,9.96,1476
01170207,2014,RD,KD,7.18,1476
01170207,2014,RD,M,46.88,1476
01170207,2014,RD,SD,7.79,1476
01170208,2014,RD,V,4.59,1395
01170208,2014,RD,S,26.88,1395
01170208,2014,RD,MP,7.81,1395
01170208,2014,RD,C,3.87,1395
01170208,2014,RD,L,6.02,1395
01170208,2014,RD,KD,3.58,1395
01170208,2014,RD,M,35.56,1395
01170208,2014,RD,SD,8.24,1395
01170214,2014,RD,V,2.87,1010
01170214,2014,RD,S,11.49,1010
01170214,2014,RD,MP,8.61,1010
01170214,2014,RD,C,6.73,1010
01170214,2014,RD,L,8.42,1010
01170214,2014,RD,KD,6.44,1010
01170214,2014,RD,M,43.76,1010
01170214,2014,RD,SD,8.42,1010
01170216,2014,RD,V,4.89,1003
01170216,2014,RD,S,21.04,1003
01170216,2014,RD,MP,10.37,1003
01170216,2014,RD,C,4.99,1003
01170216,2014,RD,L,6.98,1003
01170216,2014,RD,KD,4.79,1003
01170216,2014,RD,M,36.19,1003
01170216,2014,RD,SD,8.87,1003
01170217,2014,RD,V,2.22,946
01170217,2014,RD,S,13.0,946
01170217,2014,RD,MP,7.51,946
01170217,2014,RD,C,8.03,946
01170217,2014,RD,L,7.82,946
01170217,2014,RD,KD,5.29,946
01170217,2014,RD,M,44.61,946
01170217,2014,RD,SD,9.09,946
01170219,2014,RD,V,2.05,1563
01170219,2014,RD,S,11.84,1563
01170219,2014,RD,MP,5.44,1563
01170219,2014,RD,C,6.59,1563
01170219,2014,RD,L,6.59,1563
01170219,2014,RD,KD,6.14,1563
01170219,2014,RD,M,47.09,1563
01170219,2014,RD,SD,11.96,1563
01170220,2014,RD,V,4.19,1314
01170220,2014,RD,S,28.31,1314
01170220,2014,RD,MP,7.76,1314
01170220,2014,RD,C,4.64,1314
01170220,2014,RD,L,7.0,1314
01170220,2014,RD,KD,4.95,1314
01170220,2014,RD,M,30.21,1314
01170220,2014,RD,SD,9.36,1314
01170002,2014,RD,V,1.27,552
01170002,2014,RD,S,13.04,552
01170002,2014,RD,MP,9.24,552
01170002,2014,RD,C,8.88,552
01170002,2014,RD,L,9.96,552
01170002,2014,RD,KD,4.17,552
01170002,2014,RD,M,40.4,552
01170002,2014,RD,SD,7.97,552
01200501,2014,RD,V,1.94,1084
01200501,2014,RD,S,15.96,1084
01200501,2014,RD,MP,7.38,1084
01200501,2014,RD,C,5.9,1084
01200501,2014,RD,L,7.75,1084
01200501,2014,RD,KD,5.07,1084
01200501,2014,RD,M,43.73,1084
01200501,2014,RD,SD,8.95,1084
01200502,2014,RD,V,3.91,997
01200502,2014,RD,S,16.45,997
01200502,2014,RD,MP,8.22,997
01200502,2014,RD,C,5.02,997
01200502,2014,RD,L,5.72,997
01200502,2014,RD,KD,3.91,997
01200502,2014,RD,M,41.83,997
01200502,2014,RD,SD,11.84,997
01200503,2014,RD,V,2.11,1138
01200503,2014,RD,S,13.36,1138
01200503,2014,RD,MP,6.68,1138
01200503,2014,RD,C,4.92,1138
01200503,2014,RD,L,7.91,1138
01200503,2014,RD,KD,4.83,1138
01200503,2014,RD,M,48.95,1138
01200503,2014,RD,SD,8.61,1138
01200504,2014,RD,V,5.04,1111
01200504,2014,RD,S,16.92,1111
01200504,2014,RD,MP,8.73,1111
01200504,2014,RD,C,5.04,1111
01200504,2014,RD,L,5.58,1111
01200504,2014,RD,KD,3.69,1111
01200504,2014,RD,M,38.34,1111
01200504,2014,RD,SD,10.71,1111
01200601,2014,RD,V,6.11,1244
01200601,2014,RD,S,36.17,1244
01200601,2014,RD,MP,9.32,1244
01200601,2014,RD,C,3.78,1244
01200601,2014,RD,L,4.5,1244
01200601,2014,RD,KD,2.89,1244
01200601,2014,RD,M,21.06,1244
01200601,2014,RD,SD,11.82,1244
01200602,2014,RD,V,6.57,1278
01200602,2014,RD,S,31.77,1278
01200602,2014,RD,MP,11.66,1278
01200602,2014,RD,C,3.68,1278
01200602,2014,RD,L,4.62,1278
01200602,2014,RD,KD,3.05,1278
01200602,2014,RD,M,24.8,1278
01200602,2014,RD,SD,8.29,1278
01200603,2014,RD,V,8.83,1042
01200603,2014,RD,S,36.66,1042
01200603,2014,RD,MP,9.21,1042
01200603,2014,RD,C,3.65,1042
01200603,2014,RD,L,4.22,1042
01200603,2014,RD,KD,1.34,1042
01200603,2014,RD,M,17.27,1042
01200603,2014,RD,SD,14.3,1042
01200604,2014,RD,V,5.01,959
01200604,2014,RD,S,26.07,959
01200604,2014,RD,MP,11.68,959
01200604,2014,RD,C,5.84,959
01200604,2014,RD,L,6.57,959
01200604,2014,RD,KD,3.13,959
01200604,2014,RD,M,29.3,959
01200604,2014,RD,SD,6.99,959
01200605,2014,RD,V,4.08,1224
01200605,2014,RD,S,31.45,1224
01200605,2014,RD,MP,10.38,1224
01200605,2014,RD,C,3.84,1224
01200605,2014,RD,L,5.07,1224
01200605,2014,RD,KD,3.84,1224
01200605,2014,RD,M,27.94,1224
01200605,2014,RD,SD,10.13,1224
01200606,2014,RD,V,2.45,695
01200606,2014,RD,S,11.65,695
01200606,2014,RD,MP,7.91,695
01200606,2014,RD,C,6.33,695
01200606,2014,RD,L,8.35,695
01200606,2014,RD,KD,4.32,695
01200606,2014,RD,M,46.91,695
01200606,2014,RD,SD,9.21,695
01200607,2014,RD,V,3.22,1427
01200607,2014,RD,S,22.78,1427
