valtyp,omrade,parti,ordning,namn
KF,0114,C,1,Vuksan Rovcanin
KF,0114,C,2,Mikael Schmidt
KF,0114,C,3,Merima Meshkan
KF,0114,C,4,Johannes Wikman Franke
KF,0114,C,5,Natalie Rovcanin
KF,0114,C,6,Mirha Meshkan
KF,0114,C,7,Luigi Ferrara
KF,0114,C,8,Samuli Pärssinen
KF,0114,C,9,Sören Lundgren
KF,0114,C,10,Arash Hojabi
KF,0114,C,11,Leena Bergström
KF,0114,C,12,Adrian Grad
KF,0114,C,13,Anders Carne
KF,0114,C,14,Ferit Pek
KF,0114,C,15,Vafa Sadat Farizani
KF,0114,C,16,Claudia Zeballos Paz
KF,0114,C,17,Guido Arteaga
KF,0114,C,18,Madeleine Svärd
KF,0114,C,19,Chamiram Cacan
KF,0114,KD,1,Maria Fälth
KF,0114,KD,2,Kristina Klempt
KF,0114,KD,3,Aleksandra Grbic
KF,0114,KD,4,Lars Tunkrans
KF,0114,KD,5,Lucas Ibrahim
KF,0114,KD,6,Carina Halfvards-Erneborg
KF,0114,KD,7,Peter Larsson
KF,0114,KD,8,Dag Roslund
KF,0114,KD,9,Magda Ayoub
KF,0114,KD,10,Jon Niklasson
KF,0114,KD,11,Ismo Salmi
KF,0114,KD,12,Vivianne Mourad
KF,0114,KD,13,Kristina Daun
KF,0114,KD,14,Hannes Eliasstam
KF,0114,KD,15,Karl Isaksson
KF,0114,KD,16,Göran Zetterlund
KF,0114,KD,17,Tommy Fälth
KF,0114,KD,18,Raouf Ayoub
KF,0114,KD,19,Mikael Wallin
KF,0114,KD,20,Olof Granström
KF,0114,L,1,Emelie Voetmann
KF,0114,L,2,Per Nelson
KF,0114,L,3,Margareta Hamark
KF,0114,L,4,Caroline Eibrand
KF,0114,L,5,Nils Eriksson
KF,0114,L,6,Lena Tuomisto
KF,0114,L,7,Eila Bromme
KF,0114,L,8,Sonja Tigonen
KF,0114,L,9,Patrick Harper
KF,0114,L,10,Ann-Cathrin Nylund Larsson
KF,0114,L,11,Torsten Hemph
KF,0114,L,12,Francis Opondo
KF,0114,L,13,Karl-Gustav Niska
KF,0114,L,14,Kjell Eriksson
KF,0114,L,15,Elin Ekblom
KF,0114,L,16,Rolf Bromme
KF,0114,L,17,Sten Deutgen
KF,0114,M,1,Oskar Weinmar
KF,0114,M,2,Hanna Broberg
KF,0114,M,3,Christine Hanefalk
KF,0114,M,4,Åke Roth
KF,0114,M,5,Somar Koria
KF,0114,M,6,Hans Karlbom
KF,0114,M,7,Katja Salmi
KF,0114,M,8,Olof Andersson
KF,0114,M,9,Melinda Khan
KF,0114,M,10,Per-Erik Kanström
KF,0114,M,11,Johan Adler
KF,0114,M,12,Sofia Roberg
KF,0114,M,13,Filip Filipsson
KF,0114,M,14,Nicole Santangelo
KF,0114,M,15,Adde Tjernberg
KF,0114,M,16,Emma Rauf-Otworowski
KF,0114,M,17,Jonas Hård
KF,0114,M,18,Amanuel Kflemariam
KF,0114,M,19,Emy Chinette
KF,0114,M,20,Kenneth Brynolfsson
KF,0114,M,21,Johan Damström
KF,0114,M,22,Jan-Olof Eriksson
KF,0114,M,23,Leo Salmi
KF,0114,M,24,Lovisa Tjernberg
