VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;VALKRETSKOD;VALKRETSNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;ORDNING;KANDIDATNUMMER;NAMN;FOLKBOKFÖRINGSKOMMUN;GILTIG
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;1;57310;Kalle Kobra;Göteborg;J
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;2;57272;Sebastian Rudolph Jensen;Göteborg;J
RD;00;Riket;01;Stockholms kommun;99 Svarta ballonger; ;3;57145;Jonas Von Pöbeln;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;1;879;Gustav Kasselstrand;Lidingö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;10;881;Per Sefastsson;Bräcke;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;11;883;Karolina Westman Johansson;Motala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;12;896;Eva-Marie Olsson;Skurup;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;13;902;Marie Nordin;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;15;904;Lennart Matikainen;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;16;888;Arne Weinz;Danderyd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;17;885;Rolf Nilsson;Vellinge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;18;905;Marcus Jonsson;Robertsfors;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;19;906;Sven Wingbro;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;2;899;Mikael Jansson;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;20;897;Robert Fabian;Borås;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;21;895;Emil Boström;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;22;907;David Lorentzon;Jönköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;23;893;Christoffer Brinkåker;Lund;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;24;908;Peter Westin;Staffanstorp;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;25;909;Hans Åke Max;Vårgårda;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;26;910;Leif Olsson;Österåker;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;27;911;Ola Sundberg;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;28;912;Torgny Darvelid;Sigtuna;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;29;865;Morten Källström;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;3;891;Anders Bergström;Värmdö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;30;913;Bengt-Arne Landgren;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;31;889;Anne Havefeldt;Stockholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;32;914;Björn Sandberg;Täby;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;33;916;Ralf Hjälte;Pajala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;34;917;Samuel Lundblad;Flen;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;35;919;Pekka Hyvärinen;Strängnäs;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;36;920;Anita Berg;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;37;921;Henrik Andersson;Tingsryd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;38;922;Gabriella Svensson;Mariestad;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;39;923;Hans Johansson;Östersund;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;4;892;Claes Lindh;Gullspång;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;40;25135;Mats Loman;Hässleholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;41;925;Hans Jörgen Holmboe;Osby;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;42;882;Isak Nygren;Katrineholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;43;926;David Bergquist;Nacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;44;898;Arvid Eriksson;Sala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;45;918;Lars-Anders Espert;Burlöv;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;46;887;Peter Sjöstrand; ;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;47;927;Immanuel Havneraas;Alvesta;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;48;4310;Finn Lundström;Bollebygd;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;49;930;Bo Adolfsson;Huddinge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;5;900;Roger Richthoff;Strängnäs;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;50;890;Jens Hultman;Hässleholm;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;51;933;Oscar Bülow;Linköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;52;934;Johan Pettersson;Gotland;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;53;935;Jonas Hellsten;Uddevalla;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;54;936;Sebastian Björklund;Ale;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;55;937;Elisabeth Peterson;Växjö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;56;938;Jerzy R. Golowkin;Hylte;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;57;886;Per Waborg;Lerum;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;58;940;Stig Saether; ;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;59;942;Stellan Stellanssen;Borlänge;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;6;880;Sven Valerio;Örnsköldsvik;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;60;944;Robin Eklund;Bjuv;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;61;945;Hans-Olof Karlsson;Värnamo;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;62;946;Tommy M Josefsson;Helsingborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;63;950;Michael Eclundh;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;64;952;Mirella Forsberg Ahlcrona;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;65;1022;Kent Petersson;Kalmar;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;66;953;Lars Andersson;Hudiksvall;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;67;1093;Hans Söderberg;Malmö;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;68;1873;Andrej Valentinasson Mishko;Norrköping;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;7;901;Mattias From;Kungsbacka;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;70;12654;Jimmy Björklund;Vänersborg;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;71;5162;Mina Dusegård;Sjöbo;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;72;1092;Kent Wiklund;Sollentuna;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;8;884;Simon O. Pettersson;Uppsala;J
RD;00;Riket;01;Stockholms kommun;Alternativ för Sverige;AFS;9;894;Christopher Bergman;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Alternative for Immigrants;AfI; ;1545;Alija, Afrodita; ;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;1;56639;Elsa Widding;Göteborg;J
RD;00;Riket;01;Stockholms kommun;Ambition Sverige; ;11;56648;Ulf Gabrielsson;Göteborg;J
