kommunkod,valar,parti,andel
0114,1973,M,15.3
0114,1976,M,16.9
0114,1979,M,20.7
0114,1982,M,26.7
0114,1985,M,25.7
0114,1988,M,23.3
0114,1991,M,29.8
0114,1994,M,27.7
0114,1998,M,31.0
0114,2002,M,21.9
0114,2006,M,33.0
0114,2010,M,32.8
0114,2014,M,26.2
0114,2018,M,23.4
0114,2022,M,20.9
0114,1973,C,20.5
0114,1976,C,16.7
0114,1979,C,12.2
0114,1982,C,8.1
0114,1985,C,4.5
0114,1988,C,4.8
0114,1991,C,3.4
0114,1994,C,2.7
0114,1998,C,4.1
0114,2002,C,2.6
0114,2006,C,3.1
0114,2010,C,3.0
0114,2014,C,3.2
0114,2018,C,4.7
0114,2022,C,4.7
0114,1973,L,10.1
0114,1976,L,11.9
0114,1979,L,10.7
0114,1982,L,6.1
0114,1985,L,13.0
0114,1988,L,13.9
0114,1991,L,12.8
0114,1994,L,8.0
0114,1998,L,5.9
0114,2002,L,15.2
0114,2006,L,11.1
0114,2010,L,11.0
0114,2014,L,7.0
0114,2018,L,5.2
0114,2022,L,3.8
0114,1973,KD,1.1
0114,1979,KD,1.0
0114,1982,KD,1.7
0114,1985,KD,1.4
0114,1988,KD,1.7
0114,1991,KD,4.0
0114,1994,KD,2.3
0114,1998,KD,7.0
0114,2002,KD,6.3
0114,2006,KD,5.6
0114,2010,KD,5.2
0114,2014,KD,4.5
0114,2018,KD,5.6
0114,2022,KD,4.4
0114,1982,MP,2.6
0114,1985,MP,3.4
0114,1988,MP,7.8
0114,1991,MP,4.5
0114,1994,MP,6.0
0114,1998,MP,5.1
0114,2002,MP,4.5
0114,2006,MP,5.6
0114,2010,MP,10.0
0114,2014,MP,9.9
0114,2018,MP,4.7
0114,2022,MP,3.0
0114,1973,S,46.1
0114,1976,S,45.9
0114,1979,S,44.8
0114,1982,S,47.8
0114,1985,S,45.9
0114,1988,S,42.9
0114,1991,S,35.0
0114,1994,S,44.6
0114,1998,S,34.4
0114,2002,S,38.1
0114,2006,S,31.0
0114,2010,S,28.9
0114,2014,S,31.4
0114,2018,S,25.7
0114,2022,S,26.6
0114,1973,V,6.0
0114,1976,V,6.7
0114,1979,V,7.9
0114,1982,V,6.7
0114,1985,V,5.8
0114,1988,V,5.3
0114,1991,V,4.5
0114,1994,V,5.2
0114,1998,V,9.0
0114,2002,V,7.3
0114,2006,V,6.3
0114,2010,V,5.2
0114,2014,V,6.6
0114,2018,V,7.6
0114,2022,V,7.8
0114,2002,SD,0.0
0114,2006,SD,2.5
0114,2010,SD,3.7
0114,2014,SD,6.3
0114,2018,SD,12.9
0114,2022,SD,14.7
0114,1973,ÖVRIGA,0.9
0114,1976,ÖVRIGA,1.8
0114,1979,ÖVRIGA,2.7
0114,1982,ÖVRIGA,0.3
0114,1985,ÖVRIGA,0.2
0114,1988,ÖVRIGA,0.4
0114,1991,ÖVRIGA,6.0
0114,1994,ÖVRIGA,3.7
0114,1998,ÖVRIGA,3.4
0114,2002,ÖVRIGA,4.0
0114,2006,ÖVRIGA,1.9
0114,2010,ÖVRIGA,0.2
0114,2014,ÖVRIGA,5.0
0114,2018,ÖVRIGA,10.1
0114,2022,ÖVRIGA,14.1
0115,1973,M,17.7
0115,1976,M,21.2
0115,1979,M,27.7
0115,1982,M,33.8
0115,1985,M,37.2
0115,1988,M,37.9
0115,1991,M,43.8
0115,1994,M,39.8
0115,1998,M,38.7
0115,2002,M,27.5
0115,2006,M,37.7
0115,2010,M,38.5
0115,2014,M,29.4
0115,2018,M,30.5
0115,2022,M,32.8
0115,1973,C,29.2
0115,1976,C,26.7
0115,1979,C,20.7
0115,1982,C,19.4
0115,1985,C,12.4
0115,1988,C,11.0
0115,1991,C,8.0
0115,1994,C,9.2
0115,1998,C,10.0
0115,2002,C,9.9
0115,2006,C,11.0
0115,2010,C,12.2
0115,2014,C,12.4
0115,2018,C,11.9
0115,2022,C,9.2
0115,1973,L,13.5
0115,1976,L,13.7
0115,1979,L,11.7
0115,1982,L,3.7
0115,1985,L,10.2
0115,1988,L,9.7
0115,1991,L,9.0
0115,1994,L,6.8
0115,1998,L,5.6
0115,2002,L,13.8
0115,2006,L,9.6
0115,2010,L,10.4
0115,2014,L,10.2
0115,2018,L,9.9
0115,2022,L,7.0
0115,1973,KD,1.4
0115,1976,KD,1.6
0115,1979,KD,2.3
0115,1982,KD,2.9
0115,1985,KD,2.5
0115,1988,KD,2.7
0115,1991,KD,4.7
0115,1994,KD,3.0
0115,1998,KD,8.5
0115,2002,KD,8.5
0115,2006,KD,6.3
0115,2010,KD,4.3
0115,2014,KD,4.2
0115,2018,KD,5.6
0115,2022,KD,4.5
0115,1982,MP,3.9
0115,1985,MP,4.4
0115,1988,MP,6.4
0115,1991,MP,4.3
0115,1994,MP,5.2
0115,1998,MP,5.5
0115,2002,MP,5.7
0115,2006,MP,5.8
0115,2010,MP,8.8
0115,2014,MP,9.8
0115,2018,MP,5.0
0115,2022,MP,4.9
0115,1973,S,32.5
0115,1976,S,31.3
0115,1979,S,30.3
0115,1982,S,29.0
0115,1985,S,25.8
0115,1988,S,23.6
0115,1991,S,19.8
0115,1994,S,26.3
0115,1998,S,22.3
0115,2002,S,30.3
0115,2006,S,21.7
0115,2010,S,18.8
0115,2014,S,22.6
0115,2018,S,19.2
0115,2022,S,21.7
0115,1973,V,4.5
0115,1976,V,4.6
0115,1979,V,5.2
0115,1982,V,4.6
0115,1985,V,3.9
0115,1988,V,3.6
0115,1991,V,2.4
0115,1994,V,2.9
0115,1998,V,7.0
0115,2002,V,0.5
0115,2006,V,2.8
0115,2010,V,2.5
0115,2014,V,3.4
0115,2018,V,3.8
0115,2022,V,4.1
0115,2002,SD,0.0
0115,2006,SD,1.1
0115,2010,SD,2.7
0115,2014,SD,6.4
0115,2018,SD,13.3
0115,2022,SD,14.9
0115,1973,ÖVRIGA,1.3
0115,1976,ÖVRIGA,1.1
0115,1979,ÖVRIGA,1.9
0115,1982,ÖVRIGA,2.7
0115,1985,ÖVRIGA,3.5
0115,1988,ÖVRIGA,5.1
0115,1991,ÖVRIGA,8.0
0115,1994,ÖVRIGA,6.8
0115,1998,ÖVRIGA,2.5
0115,2002,ÖVRIGA,3.8
0115,2006,ÖVRIGA,4.1
0115,2010,ÖVRIGA,1.9
0115,2014,ÖVRIGA,1.6
0115,2018,ÖVRIGA,0.7
0115,2022,ÖVRIGA,0.9
0117,1982,M,29.7
0117,1985,M,37.5
0117,1988,M,35.5
0117,1991,M,37.9
0117,1994,M,31.1
0117,1998,M,37.6
0117,2002,M,24.6
0117,2006,M,31.3
0117,2010,M,34.6
0117,2014,M,27.3
0117,2018,M,33.8
0117,2022,M,38.2
0117,1982,C,8.5
0117,1985,C,4.6
0117,1988,C,6.4
0117,1991,C,4.8
0117,1994,C,5.2
0117,1998,C,3.3
0117,2002,C,3.5
0117,2006,C,4.1
0117,2010,C,3.6
0117,2014,C,4.7
0117,2018,C,6.3
0117,2022,C,4.6
0117,1982,L,4.9
0117,1985,L,12.1
0117,1988,L,14.2
0117,1991,L,12.3
0117,1994,L,10.9
0117,1998,L,6.9
0117,2002,L,15.7
0117,2006,L,11.0
0117,2010,L,12.1
0117,2014,L,9.4
0117,2018,L,7.8
0117,2022,L,5.4
0117,1982,KD,0.7
0117,1985,KD,0.5
0117,1988,KD,0.4
0117,1991,KD,3.5
0117,1994,KD,2.0
0117,1998,KD,8.0
0117,2002,KD,6.8
0117,2006,KD,5.6
0117,2010,KD,3.5
0117,2014,KD,3.1
0117,2018,KD,4.2
0117,2022,KD,3.3
0117,1982,MP,3.3
0117,1985,MP,3.0
0117,1988,MP,7.2
0117,1991,MP,4.6
0117,1994,MP,4.8
0117,1998,MP,4.2
0117,2002,MP,3.4
0117,2006,MP,4.2
0117,2010,MP,7.5
0117,2014,MP,8.7
0117,2018,MP,4.8
0117,2022,MP,3.5
0117,1982,S,35.0
0117,1985,S,31.2
0117,1988,S,32.8
0117,1991,S,29.8
0117,1994,S,40.0
0117,1998,S,29.4
0117,2002,S,34.1
0117,2006,S,25.1
0117,2010,S,20.5
0117,2014,S,21.8
0117,2018,S,17.4
0117,2022,S,22.5
0117,1982,V,4.1
0117,1985,V,3.6
0117,1988,V,3.4
0117,1991,V,2.4
0117,1994,V,2.7
0117,1998,V,6.2
0117,2002,V,4.7
0117,2006,V,3.5
0117,2010,V,2.8
0117,2014,V,3.4
0117,2018,V,4.9
0117,2022,V,4.5
0117,2002,SD,0.0
0117,2006,SD,0.8
0117,2010,SD,1.9
0117,2014,SD,4.6
0117,2018,SD,9.2
0117,2022,SD,9.0
0117,1982,ÖVRIGA,13.9
0117,1985,ÖVRIGA,7.6
0117,1988,ÖVRIGA,0.3
0117,1991,ÖVRIGA,4.8
0117,1994,ÖVRIGA,3.2
0117,1998,ÖVRIGA,4.4
0117,2002,ÖVRIGA,7.2
0117,2006,ÖVRIGA,14.3
0117,2010,ÖVRIGA,13.4
0117,2014,ÖVRIGA,16.9
0117,2018,ÖVRIGA,11.6
0117,2022,ÖVRIGA,8.9
0120,1973,M,16.9
0120,1976,M,20.4
0120,1979,M,25.1
0120,1982,M,30.4
0120,1985,M,30.5
0120,1988,M,32.3
0120,1991,M,34.7
0120,1994,M,40.0
0120,1998,M,42.0
0120,2002,M,26.3
0120,2006,M,38.1
0120,2010,M,37.9
0120,2014,M,31.1
0120,2018,M,27.3
0120,2022,M,23.3
0120,1973,C,20.2
0120,1976,C,18.4
0120,1979,C,14.6
0120,1982,C,10.0
0120,1985,C,8.2
0120,1988,C,9.2
0120,1991,C,7.2
0120,1994,C,5.2
0120,1998,C,3.8
0120,2002,C,3.4
0120,2006,C,4.7
0120,2010,C,5.6
0120,2014,C,5.4
0120,2018,C,8.8
0120,2022,C,7.0
0120,1973,L,8.8
0120,1976,L,9.4
0120,1979,L,7.4
0120,1982,L,4.1
0120,1985,L,11.7
0120,1988,L,10.4
0120,1991,L,8.5
0120,1994,L,5.3
0120,1998,L,5.4
0120,2002,L,14.9
0120,2006,L,8.9
0120,2010,L,8.1
0120,2014,L,8.5
0120,2018,L,6.8
0120,2022,L,4.6
0120,1973,KD,1.1
0120,1976,KD,0.9
0120,1979,KD,0.6
0120,1985,KD,0.1
0120,1988,KD,0.8
0120,1991,KD,3.0
0120,1994,KD,1.3
0120,1998,KD,4.4
0120,2002,KD,6.5
0120,2006,KD,5.2
0120,2010,KD,4.7
0120,2014,KD,4.1
0120,2018,KD,5.5
0120,2022,KD,5.1
0120,1982,MP,2.7
0120,1985,MP,0.8
0120,1988,MP,3.9
0120,1991,MP,3.6
0120,1994,MP,5.0
