kommunkod,syssgrad,arbloshet,arbloshet_ung,langtidsarbl,medianink,lag_ekstand,ekbistand,gini,hyresratt,trangbodd,brott,tathet,tatortsgrad,utrikesfodda,medelalder,ensamhushall,valdeltagande
0114,81.6,4.997576,4.087285,3.97028,373400.0,12.0,1.798547,0.299,36.427304,20.887329,11314.1468,637.6,99.0,34.241403,39.5,45.718662,81.0
0115,86.3,2.461415,2.152798,1.668214,426700.0,7.0,1.311297,0.306,10.793453,12.977485,10107.52999,95.73141755,84.0,16.415598,39.8,39.287762,89.0
0117,85.9,2.654131,2.257194,1.866688,419200.0,7.0,1.060279,0.324,19.057827,17.393681,7227.95054,154.422923,93.0,17.886361,40.8,38.747475,88.0
0120,86.4,2.520899,2.492767,1.820243,428000.0,7.0,1.579956,0.342,17.5925,17.367719,8333.24342,104.13316215,92.0,14.11628,41.0,41.052632,89.0
0123,81.0,5.550799,3.896487,4.291424,375600.0,12.0,2.319214,0.276,30.667913,21.014385,11691.86977,1546.1981781,100.0,34.722677,39.1,45.927464,81.0
0125,84.9,2.460652,1.759495,1.61899,457600.0,6.0,2.716066,0.391,14.955545,17.874578,6970.23308,133.84856013,83.0,14.215568,40.5,36.067766,91.0
0126,80.6,4.983175,3.024752,4.034839,387800.0,13.0,1.444491,0.3,31.931404,25.194219,11667.94335,870.78557237,99.0,31.288863,38.3,42.339266,82.0
0127,76.9,7.973751,4.37567,6.603564,334000.0,19.0,2.810773,0.278,43.693003,27.93955,13540.56874,491.22861266,98.0,43.658723,38.5,43.20767,73.0
0128,85.3,3.458283,2.68354,2.955873,411900.0,8.0,0.962425,0.281,22.611327,16.238497,8449.89018,318.8909427,99.0,22.844629,39.5,38.925178,86.0
0136,81.8,4.978281,4.262896,3.652995,371200.0,12.0,2.367863,0.277,31.16359,24.66863,12305.71891,210.04808854,96.0,29.378705,38.4,44.246955,80.0
0138,85.0,3.279092,3.05153,2.492643,425700.0,8.0,1.460966,0.306,26.857863,14.368159,9377.67104,710.63151796,100.0,17.97456,40.5,42.941379,88.0
0139,81.9,5.219076,4.181883,3.819408,368300.0,13.0,2.448749,0.281,35.034714,22.867307,12361.96075,132.09519762,93.0,32.389414,38.0,43.373401,83.0
0140,89.0,2.578019,3.022651,1.999901,439100.0,6.0,2.02332,0.269,26.338991,10.721824,7166.29252,75.32093267,82.0,14.060357,39.7,37.925206,89.0
0160,85.3,2.402743,1.607236,1.661906,485000.0,5.0,0.893035,0.354,10.639205,10.980088,6842.7548,1218.56978085,100.0,19.584226,41.2,40.987316,90.0
0162,81.4,2.361873,1.09574,1.540574,530800.0,6.0,1.076716,0.653,14.667257,13.394073,12629.97175,1243.95145999,100.0,17.573107,41.8,39.862676,92.0
0163,82.4,4.014337,2.648465,3.126052,436500.0,10.0,1.47435,0.359,26.682752,19.962376,10593.01595,1427.63733131,100.0,28.541259,39.6,42.386844,87.0
0180,81.1,4.347387,3.09087,3.407621,412300.0,12.0,2.084899,0.419,42.524456,19.768675,19601.04261,5228.19293841,100.0,26.20772,39.9,53.350246,86.0
0181,77.7,8.250537,4.015802,6.354586,341000.0,19.0,2.515963,0.295,54.061669,23.569547,14635.99086,193.14694656,92.0,43.331771,39.7,46.406846,72.0
0182,85.3,2.743936,1.780353,1.982922,462500.0,7.0,1.07685,0.426,18.628103,17.214912,8388.7562,1140.14537027,99.0,19.902088,39.8,42.535634,89.0
0183,82.7,4.304268,3.421011,3.312243,408200.0,11.0,1.651563,0.307,45.380845,19.014147,11778.80595,6163.86651323,100.0,32.903643,38.1,52.192982,83.0
0184,80.8,2.921892,2.649627,2.074124,438500.0,10.0,0.486834,0.318,35.826546,14.074005,13590.19553,4368.81162429,100.0,33.714453,39.4,52.395272,86.0
0186,83.6,2.633124,1.324389,1.989558,470600.0,7.0,0.728857,0.493,30.217958,12.430497,7302.73101,1569.30596285,99.0,18.299884,42.2,45.710059,90.0
0187,85.7,2.500926,2.066059,1.695548,472400.0,6.0,1.647197,0.388,14.633212,13.291139,4017.57689,208.15547458,96.0,10.984116,43.9,39.167834,91.0
0188,82.9,3.543495,3.693431,2.60078,356700.0,13.0,2.419687,0.333,23.345844,12.485812,11782.21543,32.13851491,66.0,13.688688,46.0,48.130281,86.0
0191,79.4,5.808855,4.161846,4.727682,350900.0,17.0,1.565271,0.31,42.292433,29.960707,14758.83268,153.43038516,89.0,37.491325,38.3,44.452957,79.0
0192,81.8,4.548665,4.316255,3.390921,368700.0,13.0,,0.297,36.626892,19.186457,13369.61268,82.5427476,82.0,20.680358,42.9,46.902332,84.0
0305,86.3,2.839452,3.050496,2.358823,403900.0,8.0,1.089392,0.277,24.688621,13.061393,9439.35799,155.66392643,91.0,16.441906,40.5,39.776239,88.0
0319,81.8,5.956184,7.57759,4.435936,361600.0,17.0,4.779221,0.264,34.407462,22.761009,8902.97111,43.45098393,90.0,14.774026,44.2,46.065174,85.0
0330,87.4,2.588933,2.539721,2.167106,420000.0,8.0,1.331148,0.286,21.345595,18.480336,6688.19303,70.23425594,73.0,15.839666,37.2,38.53325,90.0
0331,82.1,4.758285,6.332803,3.644092,337800.0,18.0,4.375563,0.279,26.128986,23.18097,6997.63264,12.25747292,62.0,13.28618,44.1,46.258907,86.0
0360,81.4,5.151984,4.939378,3.993113,346400.0,18.0,3.704569,0.269,33.665549,21.091251,8290.78361,13.9512987,67.0,13.253293,43.8,47.219454,86.0
0380,77.2,4.4082,3.056398,3.215969,358100.0,16.0,3.683406,0.324,38.088325,14.204625,10060.53329,108.87362474,89.0,23.013133,39.1,50.112231,88.0
0381,84.0,4.740094,4.585681,3.721176,368800.0,14.0,3.471409,0.302,34.19577,22.421001,10996.77984,40.30297887,71.0,17.127153,41.6,45.097488,85.0
0382,86.3,2.913299,3.518114,2.216034,375900.0,13.0,1.181525,0.279,26.155093,12.151351,7153.08222,15.16696959,68.0,10.060866,45.9,47.619489,86.0
0428,79.9,6.485788,6.691485,5.002025,339600.0,20.0,5.923617,0.279,37.013415,21.085271,10042.11926,24.47342839,71.0,14.029618,45.1,45.823389,88.0
0461,83.3,3.442341,2.847879,2.650863,366500.0,13.0,1.997933,0.287,32.66083,12.413542,9496.21621,24.96963651,68.0,13.520496,43.5,46.25928,87.0
0480,81.8,5.8234,5.396736,4.51734,367000.0,15.0,4.622464,0.294,37.795167,15.806889,12751.82873,40.62295151,84.0,16.483687,43.3,48.997114,87.0
0481,81.3,6.124807,5.005269,4.816336,370800.0,17.0,3.466821,0.277,32.738654,14.245122,9885.20934,346.92593652,97.0,21.876551,45.4,50.577406,
0482,75.0,10.15625,7.611039,6.821602,331600.0,24.0,6.719392,0.311,43.121275,26.412615,11280.65731,22.71126515,76.0,22.518371,46.2,48.045733,84.0
0483,79.5,7.203065,6.428043,4.892026,345500.0,20.0,4.404115,0.287,49.220035,18.794835,12446.66128,34.08135055,84.0,19.286788,43.0,50.342902,84.0
