niva,kod,antal,valkretsar
kommun,0114,61,1
kommun,0115,51,1
kommun,0117,61,1
kommun,0120,51,1
kommun,0123,61,1
kommun,0125,41,1
kommun,0126,61,1
kommun,0127,75,1
kommun,0128,31,1
kommun,0136,61,2
kommun,0138,61,1
kommun,0139,51,1
kommun,0140,31,1
kommun,0160,61,2
kommun,0162,51,1
kommun,0163,61,1
kommun,0180,101,6
kommun,0181,65,1
kommun,0182,61,2
kommun,0183,61,1
kommun,0184,61,1
kommun,0186,61,1
kommun,0187,31,1
kommun,0188,61,1
kommun,0191,61,1
kommun,0192,41,1
kommun,0305,41,1
kommun,0319,31,1
kommun,0330,31,1
kommun,0331,41,1
kommun,0360,41,1
kommun,0380,81,1
kommun,0381,61,1
kommun,0382,49,1
kommun,0428,31,1
kommun,0461,31,1
kommun,0480,61,1
kommun,0481,31,1
kommun,0482,39,1
kommun,0483,51,1
kommun,0484,65,1
kommun,0486,55,1
kommun,0488,35,1
kommun,0509,29,1
kommun,0512,21,1
kommun,0513,35,1
kommun,0560,29,1
kommun,0561,35,1
kommun,0562,45,1
kommun,0563,31,1
kommun,0580,79,3
kommun,0581,85,1
kommun,0582,39,1
kommun,0583,57,1
kommun,0584,35,1
kommun,0586,45,1
kommun,0604,35,1
kommun,0617,35,1
kommun,0642,31,1
kommun,0643,35,1
kommun,0662,49,1
kommun,0665,41,1
kommun,0680,81,1
kommun,0682,57,1
kommun,0683,51,1
kommun,0684,39,1
kommun,0685,45,1
kommun,0686,49,1
kommun,0687,41,1
kommun,0760,31,1
kommun,0761,35,1
kommun,0763,41,1
kommun,0764,49,1
kommun,0765,41,1
kommun,0767,35,1
kommun,0780,61,1
kommun,0781,49,1
kommun,0821,31,1
kommun,0834,31,1
kommun,0840,43,1
kommun,0860,45,1
kommun,0861,49,1
kommun,0862,35,1
kommun,0880,61,2
kommun,0881,41,1
kommun,0882,49,1
kommun,0883,57,1
kommun,0884,45,1
kommun,0885,35,1
kommun,0980,71,1
kommun,1060,49,1
kommun,1080,75,3
kommun,1081,49,1
kommun,1082,51,1
kommun,1083,49,1
kommun,1214,35,1
kommun,1230,41,1
kommun,1231,41,1
kommun,1233,51,1
kommun,1256,31,1
kommun,1257,37,1
kommun,1260,31,1
kommun,1261,51,1
kommun,1262,45,1
kommun,1263,45,1
kommun,1264,39,1
kommun,1265,41,1
kommun,1266,31,1
kommun,1267,41,1
kommun,1270,41,1
kommun,1272,31,1
kommun,1273,35,1
kommun,1275,27,1
kommun,1276,35,1
kommun,1277,31,1
kommun,1278,37,1
kommun,1280,61,2
kommun,1281,65,1
kommun,1282,61,1
kommun,1283,65,1
kommun,1284,41,1
kommun,1285,51,1
kommun,1286,51,1
kommun,1287,61,2
kommun,1290,65,2
kommun,1291,41,1
kommun,1292,51,1
kommun,1293,61,1
kommun,1315,41,1
kommun,1380,71,1
kommun,1381,41,1
kommun,1382,61,1
kommun,1383,61,2
kommun,1384,61,1
kommun,1401,51,1
kommun,1402,51,1
kommun,1407,41,1
kommun,1415,51,1
kommun,1419,41,1
kommun,1421,41,1
kommun,1427,31,1
kommun,1430,35,1
kommun,1435,39,1
