niva,kod,year,val,party,share,roster
kommun,0114,2014,KF,V,6.62,25119
kommun,0114,2014,KF,S,31.36,25119
kommun,0114,2014,KF,MP,9.92,25119
kommun,0114,2014,KF,C,3.2,25119
kommun,0114,2014,KF,L,6.95,25119
kommun,0114,2014,KF,KD,4.45,25119
kommun,0114,2014,KF,M,26.17,25119
kommun,0114,2014,KF,SD,6.31,25119
kommun,0114,2014,RD,V,5.83,24527
kommun,0114,2014,RD,S,30.28,24527
kommun,0114,2014,RD,MP,6.85,24527
kommun,0114,2014,RD,C,3.75,24527
kommun,0114,2014,RD,L,6.12,24527
kommun,0114,2014,RD,KD,4.46,24527
kommun,0114,2014,RD,M,28.43,24527
kommun,0114,2014,RD,SD,10.92,24527
kommun,0114,2014,RF,V,6.88,25023
kommun,0114,2014,RF,S,34.54,25023
kommun,0114,2014,RF,MP,7.36,25023
kommun,0114,2014,RF,C,3.24,25023
kommun,0114,2014,RF,L,6.68,25023
kommun,0114,2014,RF,KD,5.69,25023
kommun,0114,2014,RF,M,26.06,25023
kommun,0114,2014,RF,SD,7.11,25023
kommun,0114,2018,KF,V,7.6,26678
kommun,0114,2018,KF,S,25.68,26678
kommun,0114,2018,KF,MP,4.72,26678
kommun,0114,2018,KF,C,4.73,26678
kommun,0114,2018,KF,L,5.19,26678
kommun,0114,2018,KF,KD,5.62,26678
kommun,0114,2018,KF,M,23.4,26678
kommun,0114,2018,KF,SD,12.94,26678
kommun,0114,2018,RD,V,8.01,25830
kommun,0114,2018,RD,S,26.97,25830
kommun,0114,2018,RD,MP,3.92,25830
kommun,0114,2018,RD,C,6.26,25830
kommun,0114,2018,RD,L,5.66,25830
kommun,0114,2018,RD,KD,6.71,25830
kommun,0114,2018,RD,M,23.11,25830
kommun,0114,2018,RD,SD,18.04,25830
kommun,0114,2018,RF,V,8.61,26564
kommun,0114,2018,RF,S,30.81,26564
kommun,0114,2018,RF,MP,3.86,26564
kommun,0114,2018,RF,C,5.53,26564
kommun,0114,2018,RF,L,5.75,26564
kommun,0114,2018,RF,KD,8.51,26564
kommun,0114,2018,RF,M,22.15,26564
kommun,0114,2018,RF,SD,13.51,26564
kommun,0114,2022,KF,V,7.78,26698
kommun,0114,2022,KF,S,26.64,26698
kommun,0114,2022,KF,MP,3.02,26698
kommun,0114,2022,KF,C,4.71,26698
kommun,0114,2022,KF,L,3.78,26698
kommun,0114,2022,KF,KD,4.37,26698
kommun,0114,2022,KF,M,20.92,26698
kommun,0114,2022,KF,SD,14.71,26698
kommun,0114,2022,RD,V,7.62,25908
kommun,0114,2022,RD,S,30.14,25908
kommun,0114,2022,RD,MP,3.62,25908
kommun,0114,2022,RD,C,5.89,25908
kommun,0114,2022,RD,L,4.34,25908
kommun,0114,2022,RD,KD,4.99,25908
kommun,0114,2022,RD,M,20.52,25908
kommun,0114,2022,RD,SD,20.94,25908
kommun,0114,2022,RF,V,9.29,26559
kommun,0114,2022,RF,S,34.48,26559
kommun,0114,2022,RF,MP,2.35,26559
kommun,0114,2022,RF,C,4.82,26559
kommun,0114,2022,RF,L,3.98,26559
kommun,0114,2022,RF,KD,7.45,26559
kommun,0114,2022,RF,M,19.91,26559
kommun,0114,2022,RF,SD,15.92,26559
kommun,0115,2014,KF,V,3.35,20104
kommun,0115,2014,KF,S,22.63,20104
kommun,0115,2014,KF,MP,9.78,20104
kommun,0115,2014,KF,C,12.45,20104
kommun,0115,2014,KF,L,10.19,20104
kommun,0115,2014,KF,KD,4.22,20104
kommun,0115,2014,KF,M,29.39,20104
kommun,0115,2014,KF,SD,6.37,20104
kommun,0115,2014,RD,V,3.24,20051
kommun,0115,2014,RD,S,19.58,20051
kommun,0115,2014,RD,MP,8.25,20051
