niva,kod,namn,val,parti,andel
kommun,0114,,KF,C,4.71
kommun,0114,,KF,KD,4.37
kommun,0114,,KF,L,3.78
kommun,0114,,KF,M,20.92
kommun,0114,,KF,MP,3.02
kommun,0114,,KF,Partiet Nyans,1.05
kommun,0114,,KF,S,26.64
kommun,0114,,KF,SD,14.71
kommun,0114,,KF,V,7.78
kommun,0114,,KF,Väsbys Bästa,12.5
kommun,0115,,KF,C,9.15
kommun,0115,,KF,KD,4.54
kommun,0115,,KF,L,7.05
kommun,0115,,KF,M,32.85
kommun,0115,,KF,MP,4.93
kommun,0115,,KF,S,21.69
kommun,0115,,KF,SD,14.85
kommun,0115,,KF,V,4.07
kommun,0117,,KF,C,4.56
kommun,0117,,KF,KD,3.34
kommun,0117,,KF,L,5.39
kommun,0117,,KF,M,38.24
kommun,0117,,KF,MP,3.48
kommun,0117,,KF,Medborgerlig Samling,2.2
kommun,0117,,KF,Roslagspartiet,6.54
kommun,0117,,KF,S,22.55
kommun,0117,,KF,SD,8.98
kommun,0117,,KF,V,4.54
kommun,0120,,KF,C,6.98
kommun,0120,,KF,KD,5.05
kommun,0120,,KF,L,4.57
kommun,0120,,KF,M,23.33
kommun,0120,,KF,MP,4.07
kommun,0120,,KF,S,32.97
kommun,0120,,KF,SD,13.89
kommun,0120,,KF,Skärgårdspartiet,2.54
kommun,0120,,KF,V,4.91
kommun,0123,,KF,C,5.69
kommun,0123,,KF,KD,4.41
kommun,0123,,KF,L,7.25
kommun,0123,,KF,M,20.77
kommun,0123,,KF,MP,3.57
kommun,0123,,KF,Medborgerlig Samling,3.04
kommun,0123,,KF,S,31.38
kommun,0123,,KF,SD,11.75
kommun,0123,,KF,V,10.66
kommun,0125,,KF,C,6.15
kommun,0125,,KF,Ekeröpartiet,1.87
kommun,0125,,KF,KD,7.04
kommun,0125,,KF,L,8.92
kommun,0125,,KF,M,26.14
kommun,0125,,KF,MP,5.58
kommun,0125,,KF,S,21.67
kommun,0125,,KF,SD,13.15
kommun,0125,,KF,V,3.2
kommun,0125,,KF,Öpartiet,5.44
kommun,0126,,KF,C,5.81
kommun,0126,,KF,Drevvikenpartiet,5.0
kommun,0126,,KF,Huddingepartiet,2.59
kommun,0126,,KF,KD,3.38
kommun,0126,,KF,L,4.96
kommun,0126,,KF,M,20.76
kommun,0126,,KF,MP,3.81
kommun,0126,,KF,Partiet Nyans,1.14
kommun,0126,,KF,S,29.25
kommun,0126,,KF,SD,12.61
kommun,0126,,KF,V,9.75
kommun,0127,,KF,C,3.4
kommun,0127,,KF,KD,7.47
kommun,0127,,KF,L,2.75
kommun,0127,,KF,M,13.56
kommun,0127,,KF,MP,3.07
kommun,0127,,KF,Partiet Nyans,2.03
kommun,0127,,KF,S,31.5
kommun,0127,,KF,SD,12.44
kommun,0127,,KF,Tullingepartiet,12.06
kommun,0127,,KF,V,10.79
kommun,0128,,KF,C,7.22
kommun,0128,,KF,KD,4.59
kommun,0128,,KF,L,4.91
kommun,0128,,KF,M,33.12
kommun,0128,,KF,MP,1.61
kommun,0128,,KF,Rönningepartiet,9.06
kommun,0128,,KF,S,23.04
kommun,0128,,KF,SD,10.96
kommun,0128,,KF,V,4.7
kommun,0136,,KF,C,5.73
kommun,0136,,KF,KD,4.55
kommun,0136,,KF,L,4.63
kommun,0136,,KF,M,23.06
kommun,0136,,KF,MP,2.62
kommun,0136,,KF,Rättvisepartiet Socialisterna,2.28
kommun,0136,,KF,S,29.41
kommun,0136,,KF,SD,18.88
kommun,0136,,KF,V,7.74
kommun,0138,,KF,C,4.48
kommun,0138,,KF,KD,3.71
kommun,0138,,KF,L,6.53
kommun,0138,,KF,M,28.33
kommun,0138,,KF,MP,4.74
kommun,0138,,KF,S,32.2
kommun,0138,,KF,SD,13.89
kommun,0138,,KF,V,5.46
kommun,0139,,KF,C,5.09
kommun,0139,,KF,KD,5.84
