niva,kod,year,val,parti,andel
kommun,0114,2022,KF,M,20.92
kommun,0114,2022,KF,S,26.64
kommun,0114,2022,KF,L,3.78
kommun,0114,2022,KF,C,4.71
kommun,0114,2022,KF,V,7.78
kommun,0114,2022,KF,MP,3.02
kommun,0114,2022,KF,KD,4.37
kommun,0114,2022,KF,SD,14.71
kommun,0114,2022,KF,Väsbys Bästa,12.5
kommun,0114,2022,KF,Partiet Nyans,1.05
kommun,0114,2022,RD,M,20.52
kommun,0114,2022,RD,S,30.14
kommun,0114,2022,RD,L,4.34
kommun,0114,2022,RD,C,5.89
kommun,0114,2022,RD,V,7.62
kommun,0114,2022,RD,MP,3.62
kommun,0114,2022,RD,KD,4.99
kommun,0114,2022,RD,SD,20.94
kommun,0114,2022,RF,M,19.91
kommun,0114,2022,RF,S,34.48
kommun,0114,2022,RF,L,3.98
kommun,0114,2022,RF,C,4.82
kommun,0114,2022,RF,V,9.29
kommun,0114,2022,RF,MP,2.35
kommun,0114,2022,RF,KD,7.45
kommun,0114,2022,RF,SD,15.92
kommun,0115,2022,KF,M,32.85
kommun,0115,2022,KF,S,21.69
kommun,0115,2022,KF,L,7.05
kommun,0115,2022,KF,C,9.15
kommun,0115,2022,KF,V,4.07
kommun,0115,2022,KF,MP,4.93
kommun,0115,2022,KF,KD,4.54
kommun,0115,2022,KF,SD,14.85
kommun,0115,2022,RD,M,26.02
kommun,0115,2022,RD,S,24.08
kommun,0115,2022,RD,L,6.01
kommun,0115,2022,RD,C,7.94
kommun,0115,2022,RD,V,3.68
kommun,0115,2022,RD,MP,5.23
kommun,0115,2022,RD,KD,5.18
kommun,0115,2022,RD,SD,20.66
kommun,0115,2022,RF,M,25.1
kommun,0115,2022,RF,S,29.6
kommun,0115,2022,RF,L,5.93
kommun,0115,2022,RF,C,6.4
kommun,0115,2022,RF,V,5.1
kommun,0115,2022,RF,MP,3.29
kommun,0115,2022,RF,KD,8.2
kommun,0115,2022,RF,SD,15.1
kommun,0117,2022,KF,M,38.24
kommun,0117,2022,KF,S,22.55
kommun,0117,2022,KF,L,5.39
kommun,0117,2022,KF,C,4.56
kommun,0117,2022,KF,V,4.54
kommun,0117,2022,KF,MP,3.48
kommun,0117,2022,KF,KD,3.34
kommun,0117,2022,KF,SD,8.98
kommun,0117,2022,KF,Roslagspartiet,6.54
kommun,0117,2022,KF,Medborgerlig Samling,2.2
kommun,0117,2022,RD,M,27.46
kommun,0117,2022,RD,S,24.9
kommun,0117,2022,RD,L,6.4
kommun,0117,2022,RD,C,7.52
kommun,0117,2022,RD,V,3.71
kommun,0117,2022,RD,MP,4.69
kommun,0117,2022,RD,KD,4.74
kommun,0117,2022,RD,SD,19.37
kommun,0117,2022,RF,M,28.18
kommun,0117,2022,RF,S,30.33
kommun,0117,2022,RF,L,6.12
kommun,0117,2022,RF,C,5.62
kommun,0117,2022,RF,V,5.25
kommun,0117,2022,RF,MP,2.66
kommun,0117,2022,RF,KD,8.45
kommun,0117,2022,RF,SD,11.93
kommun,0117,2022,RF,Medborgerlig Samling,1.08
kommun,0120,2022,KF,M,23.33
kommun,0120,2022,KF,S,32.97
kommun,0120,2022,KF,L,4.57
kommun,0120,2022,KF,C,6.98
kommun,0120,2022,KF,V,4.91
kommun,0120,2022,KF,MP,4.07
kommun,0120,2022,KF,KD,5.05
kommun,0120,2022,KF,SD,13.89
kommun,0120,2022,KF,Skärgårdspartiet,2.54
kommun,0120,2022,RD,M,23.73
kommun,0120,2022,RD,S,26.5
kommun,0120,2022,RD,L,5.39
kommun,0120,2022,RD,C,8.0
kommun,0120,2022,RD,V,4.67
kommun,0120,2022,RD,MP,6.36
kommun,0120,2022,RD,KD,4.49
kommun,0120,2022,RD,SD,19.78
kommun,0120,2022,RF,M,22.32
kommun,0120,2022,RF,S,33.79
kommun,0120,2022,RF,L,4.68
kommun,0120,2022,RF,C,6.45
kommun,0120,2022,RF,V,6.39
kommun,0120,2022,RF,MP,3.23
kommun,0120,2022,RF,KD,7.13
kommun,0120,2022,RF,SD,14.8
kommun,0123,2022,KF,M,20.77
kommun,0123,2022,KF,S,31.38
kommun,0123,2022,KF,L,7.25
kommun,0123,2022,KF,C,5.69
kommun,0123,2022,KF,V,10.66
kommun,0123,2022,KF,MP,3.57
kommun,0123,2022,KF,KD,4.41
kommun,0123,2022,KF,SD,11.75
kommun,0123,2022,KF,Medborgerlig Samling,3.04
kommun,0123,2022,RD,M,21.04
kommun,0123,2022,RD,S,30.71
kommun,0123,2022,RD,L,5.13
kommun,0123,2022,RD,C,6.09
kommun,0123,2022,RD,V,9.13
kommun,0123,2022,RD,MP,4.81
kommun,0123,2022,RD,KD,4.25
kommun,0123,2022,RD,SD,16.42
kommun,0123,2022,RD,Partiet Nyans,1.1
kommun,0123,2022,RF,M,19.3
kommun,0123,2022,RF,S,35.36
kommun,0123,2022,RF,L,5.49
kommun,0123,2022,RF,C,4.51
kommun,0123,2022,RF,V,10.87
kommun,0123,2022,RF,MP,2.85
kommun,0123,2022,RF,KD,6.34
kommun,0123,2022,RF,SD,12.34
kommun,0123,2022,RF,Partiet Nyans,1.26
kommun,0125,2022,KF,M,26.14
kommun,0125,2022,KF,S,21.67
kommun,0125,2022,KF,L,8.92
kommun,0125,2022,KF,C,6.15
kommun,0125,2022,KF,V,3.2
kommun,0125,2022,KF,MP,5.58
kommun,0125,2022,KF,KD,7.04
kommun,0125,2022,KF,SD,13.15
kommun,0125,2022,KF,Öpartiet,5.44
kommun,0125,2022,KF,Ekeröpartiet,1.87
kommun,0125,2022,RD,M,25.61
kommun,0125,2022,RD,S,23.02
kommun,0125,2022,RD,L,6.32
kommun,0125,2022,RD,C,9.14
kommun,0125,2022,RD,V,3.77
kommun,0125,2022,RD,MP,6.11
kommun,0125,2022,RD,KD,5.66
kommun,0125,2022,RD,SD,19.26
kommun,0125,2022,RF,M,24.08
kommun,0125,2022,RF,S,28.41
kommun,0125,2022,RF,L,6.52
kommun,0125,2022,RF,C,6.77
kommun,0125,2022,RF,V,5.44
kommun,0125,2022,RF,MP,3.92
kommun,0125,2022,RF,KD,9.97
kommun,0125,2022,RF,SD,13.37
kommun,0125,2022,RF,Medborgerlig Samling,1.08
kommun,0126,2022,KF,M,20.76
kommun,0126,2022,KF,S,29.25
kommun,0126,2022,KF,L,4.96
kommun,0126,2022,KF,C,5.81
kommun,0126,2022,KF,V,9.75
kommun,0126,2022,KF,Huddingepartiet,2.59
kommun,0126,2022,KF,MP,3.81
kommun,0126,2022,KF,KD,3.38
kommun,0126,2022,KF,SD,12.61
kommun,0126,2022,KF,Drevvikenpartiet,5.0
kommun,0126,2022,KF,Partiet Nyans,1.14
kommun,0126,2022,RD,M,21.37
kommun,0126,2022,RD,S,30.0
kommun,0126,2022,RD,L,4.73
kommun,0126,2022,RD,C,6.86
kommun,0126,2022,RD,V,8.41
kommun,0126,2022,RD,MP,5.65
kommun,0126,2022,RD,KD,3.79
kommun,0126,2022,RD,SD,17.05
kommun,0126,2022,RF,M,19.73
kommun,0126,2022,RF,S,35.68
kommun,0126,2022,RF,L,4.34
kommun,0126,2022,RF,C,5.23
kommun,0126,2022,RF,V,10.64
kommun,0126,2022,RF,MP,3.28
kommun,0126,2022,RF,KD,5.82
kommun,0126,2022,RF,SD,12.98
kommun,0126,2022,RF,Partiet Nyans,1.09
kommun,0127,2022,KF,M,13.56
kommun,0127,2022,KF,S,31.5
kommun,0127,2022,KF,L,2.75
kommun,0127,2022,KF,C,3.4
kommun,0127,2022,KF,V,10.79
kommun,0127,2022,KF,MP,3.07
kommun,0127,2022,KF,KD,7.47
kommun,0127,2022,KF,SD,12.44
kommun,0127,2022,KF,Tullingepartiet,12.06
kommun,0127,2022,KF,Partiet Nyans,2.03
kommun,0127,2022,RD,M,17.29
kommun,0127,2022,RD,S,32.27
kommun,0127,2022,RD,L,3.14
kommun,0127,2022,RD,C,4.69
kommun,0127,2022,RD,V,10.33
kommun,0127,2022,RD,MP,3.92
kommun,0127,2022,RD,KD,6.56
kommun,0127,2022,RD,SD,18.45
kommun,0127,2022,RD,Partiet Nyans,1.93
kommun,0127,2022,RF,M,15.75
kommun,0127,2022,RF,S,36.73
kommun,0127,2022,RF,L,3.1
kommun,0127,2022,RF,C,3.64
kommun,0127,2022,RF,V,11.93
kommun,0127,2022,RF,MP,2.66
kommun,0127,2022,RF,KD,8.74
kommun,0127,2022,RF,SD,14.1
kommun,0127,2022,RF,Partiet Nyans,2.05
kommun,0128,2022,KF,M,33.12
kommun,0128,2022,KF,S,23.04
kommun,0128,2022,KF,L,4.91
kommun,0128,2022,KF,C,7.22
kommun,0128,2022,KF,V,4.7
kommun,0128,2022,KF,MP,1.61
kommun,0128,2022,KF,KD,4.59
kommun,0128,2022,KF,SD,10.96
kommun,0128,2022,KF,Rönningepartiet,9.06
kommun,0128,2022,RD,M,23.78
kommun,0128,2022,RD,S,27.86
kommun,0128,2022,RD,L,5.09
kommun,0128,2022,RD,C,6.69
kommun,0128,2022,RD,V,4.82
kommun,0128,2022,RD,MP,4.96
kommun,0128,2022,RD,KD,5.73
kommun,0128,2022,RD,SD,19.55
kommun,0128,2022,RF,M,24.24
kommun,0128,2022,RF,S,33.42
kommun,0128,2022,RF,L,4.92
kommun,0128,2022,RF,C,5.53
kommun,0128,2022,RF,V,6.34
kommun,0128,2022,RF,MP,2.4
kommun,0128,2022,RF,KD,8.29
kommun,0128,2022,RF,SD,13.25
kommun,0136,2022,KF,M,23.06
kommun,0136,2022,KF,S,29.41
kommun,0136,2022,KF,L,4.63
kommun,0136,2022,KF,C,5.73
kommun,0136,2022,KF,V,7.74
kommun,0136,2022,KF,MP,2.62
kommun,0136,2022,KF,KD,4.55
kommun,0136,2022,KF,SD,18.88
kommun,0136,2022,KF,Rättvisepartiet Socialisterna,2.28
kommun,0136,2022,RD,M,20.85
kommun,0136,2022,RD,S,29.8
kommun,0136,2022,RD,L,3.87
kommun,0136,2022,RD,C,5.36
kommun,0136,2022,RD,V,7.32
kommun,0136,2022,RD,MP,3.7
kommun,0136,2022,RD,KD,4.19
kommun,0136,2022,RD,SD,22.75
kommun,0136,2022,RD,Partiet Nyans,1.04
kommun,0136,2022,RF,M,19.89
kommun,0136,2022,RF,S,34.32
kommun,0136,2022,RF,L,3.67
kommun,0136,2022,RF,C,4.56
kommun,0136,2022,RF,V,8.9
kommun,0136,2022,RF,MP,2.41
kommun,0136,2022,RF,KD,5.89
kommun,0136,2022,RF,SD,18.35
kommun,0136,2022,RF,Partiet Nyans,1.0
kommun,0138,2022,KF,M,28.33
kommun,0138,2022,KF,S,32.2
kommun,0138,2022,KF,L,6.53
kommun,0138,2022,KF,C,4.48
kommun,0138,2022,KF,V,5.46
kommun,0138,2022,KF,MP,4.74
kommun,0138,2022,KF,KD,3.71
kommun,0138,2022,KF,SD,13.89
kommun,0138,2022,RD,M,23.64
kommun,0138,2022,RD,S,29.81
kommun,0138,2022,RD,L,5.48
kommun,0138,2022,RD,C,6.58
kommun,0138,2022,RD,V,5.13
kommun,0138,2022,RD,MP,5.33
kommun,0138,2022,RD,KD,3.9
kommun,0138,2022,RD,SD,18.92
kommun,0138,2022,RF,M,22.6
kommun,0138,2022,RF,S,36.43
kommun,0138,2022,RF,L,5.21
kommun,0138,2022,RF,C,4.53
kommun,0138,2022,RF,V,6.86
kommun,0138,2022,RF,MP,3.02
kommun,0138,2022,RF,KD,6.11
kommun,0138,2022,RF,SD,14.2
kommun,0139,2022,KF,M,25.81
kommun,0139,2022,KF,S,28.37
kommun,0139,2022,KF,L,5.35
kommun,0139,2022,KF,C,5.09
kommun,0139,2022,KF,V,8.24
kommun,0139,2022,KF,MP,2.57
kommun,0139,2022,KF,KD,5.84
kommun,0139,2022,KF,SD,17.62
kommun,0139,2022,RD,M,21.42
kommun,0139,2022,RD,S,28.24
kommun,0139,2022,RD,L,4.35
kommun,0139,2022,RD,C,5.32
kommun,0139,2022,RD,V,6.99
kommun,0139,2022,RD,MP,3.38
kommun,0139,2022,RD,KD,5.52
kommun,0139,2022,RD,SD,22.82
kommun,0139,2022,RF,M,20.79
kommun,0139,2022,RF,S,32.66
kommun,0139,2022,RF,L,4.34
kommun,0139,2022,RF,C,4.2
kommun,0139,2022,RF,V,8.85
kommun,0139,2022,RF,MP,2.15
kommun,0139,2022,RF,KD,8.2
kommun,0139,2022,RF,SD,17.1
kommun,0140,2022,KF,M,22.36
kommun,0140,2022,KF,S,24.45
kommun,0140,2022,KF,L,4.61
kommun,0140,2022,KF,C,4.91
kommun,0140,2022,KF,V,1.86
kommun,0140,2022,KF,MP,2.2
kommun,0140,2022,KF,KD,2.68
kommun,0140,2022,KF,SD,19.85
kommun,0140,2022,KF,Nykvarnspartiet,16.73
kommun,0140,2022,RD,M,25.6
kommun,0140,2022,RD,S,24.89
kommun,0140,2022,RD,L,4.44
kommun,0140,2022,RD,C,5.32
kommun,0140,2022,RD,V,2.5
kommun,0140,2022,RD,MP,2.56
kommun,0140,2022,RD,KD,5.28
kommun,0140,2022,RD,SD,28.72
kommun,0140,2022,RF,M,25.08
kommun,0140,2022,RF,S,31.11
kommun,0140,2022,RF,L,4.47
kommun,0140,2022,RF,C,4.11
kommun,0140,2022,RF,V,3.28
kommun,0140,2022,RF,MP,1.61
kommun,0140,2022,RF,KD,8.21
kommun,0140,2022,RF,SD,21.37
kommun,0160,2022,KF,M,39.52
kommun,0160,2022,KF,S,17.0
kommun,0160,2022,KF,L,14.3
kommun,0160,2022,KF,C,8.33
kommun,0160,2022,KF,V,2.16
kommun,0160,2022,KF,MP,3.81
kommun,0160,2022,KF,KD,5.56
kommun,0160,2022,KF,SD,8.33
kommun,0160,2022,RD,M,33.92
kommun,0160,2022,RD,S,19.79
kommun,0160,2022,RD,L,9.74
kommun,0160,2022,RD,C,9.95
kommun,0160,2022,RD,V,2.77
kommun,0160,2022,RD,MP,4.59
kommun,0160,2022,RD,KD,5.24
kommun,0160,2022,RD,SD,12.94
kommun,0160,2022,RF,M,31.24
kommun,0160,2022,RF,S,25.32
kommun,0160,2022,RF,L,10.14
kommun,0160,2022,RF,C,7.29
kommun,0160,2022,RF,V,3.63
kommun,0160,2022,RF,MP,2.73
kommun,0160,2022,RF,KD,10.07
kommun,0160,2022,RF,SD,8.19
kommun,0162,2022,KF,M,36.47
kommun,0162,2022,KF,S,9.78
kommun,0162,2022,KF,L,11.12
kommun,0162,2022,KF,C,21.8
kommun,0162,2022,KF,V,1.8
kommun,0162,2022,KF,MP,3.59
kommun,0162,2022,KF,KD,6.62
kommun,0162,2022,KF,SD,5.71
kommun,0162,2022,KF,Medborgerlig Samling,1.67
kommun,0162,2022,KF,Nya Danderydspartiet,1.29
kommun,0162,2022,RD,M,40.98
kommun,0162,2022,RD,S,12.5
kommun,0162,2022,RD,L,12.3
kommun,0162,2022,RD,C,9.99
kommun,0162,2022,RD,V,2.15
kommun,0162,2022,RD,MP,4.15
kommun,0162,2022,RD,KD,5.93
kommun,0162,2022,RD,SD,11.1
kommun,0162,2022,RF,M,34.53
kommun,0162,2022,RF,S,18.48
kommun,0162,2022,RF,L,12.01
kommun,0162,2022,RF,C,7.75
kommun,0162,2022,RF,V,3.12
kommun,0162,2022,RF,MP,2.67
kommun,0162,2022,RF,KD,13.17
kommun,0162,2022,RF,SD,6.48
kommun,0162,2022,RF,Medborgerlig Samling,1.44
kommun,0163,2022,KF,M,29.53
kommun,0163,2022,KF,S,27.68
kommun,0163,2022,KF,L,8.01
kommun,0163,2022,KF,C,7.21
kommun,0163,2022,KF,V,6.13
kommun,0163,2022,KF,Sollentunapartiet,1.96
kommun,0163,2022,KF,MP,4.29
kommun,0163,2022,KF,KD,5.4
kommun,0163,2022,KF,SD,8.62
kommun,0163,2022,RD,M,24.94
kommun,0163,2022,RD,S,26.81
kommun,0163,2022,RD,L,7.69
kommun,0163,2022,RD,C,9.44
kommun,0163,2022,RD,V,6.21
kommun,0163,2022,RD,MP,5.83
kommun,0163,2022,RD,KD,4.51
kommun,0163,2022,RD,SD,12.9
kommun,0163,2022,RF,M,24.16
kommun,0163,2022,RF,S,33.23
kommun,0163,2022,RF,L,7.26
kommun,0163,2022,RF,C,6.65
kommun,0163,2022,RF,V,7.37
kommun,0163,2022,RF,MP,3.38
kommun,0163,2022,RF,KD,7.41
kommun,0163,2022,RF,SD,8.7
kommun,0180,2022,KF,M,18.33
kommun,0180,2022,KF,S,29.43
kommun,0180,2022,KF,L,7.98
kommun,0180,2022,KF,C,6.69
kommun,0180,2022,KF,V,15.37
kommun,0180,2022,KF,MP,6.03
kommun,0180,2022,KF,KD,3.83
kommun,0180,2022,KF,SD,8.03
kommun,0180,2022,KF,Feministiskt initiativ,1.18
kommun,0180,2022,KF,Medborgerlig Samling,1.17
kommun,0180,2022,RD,M,19.07
kommun,0180,2022,RD,S,28.07
kommun,0180,2022,RD,L,6.87
kommun,0180,2022,RD,C,8.48
kommun,0180,2022,RD,V,11.73
kommun,0180,2022,RD,MP,10.02
kommun,0180,2022,RD,KD,3.17
kommun,0180,2022,RD,SD,10.67
kommun,0180,2022,RF,M,16.75
kommun,0180,2022,RF,S,33.71
kommun,0180,2022,RF,L,6.48
kommun,0180,2022,RF,C,6.0
kommun,0180,2022,RF,V,16.41
kommun,0180,2022,RF,MP,4.7
