distrikt_kod,income,edu,foreign,turnout,age,hyra,urban,syss
01140101,350.0,50.83,36.27,,38.52,44.17,2,80.35
01140102,400.6,47.75,23.27,,44.07,14.92,0,83.72
01140120,400.6,47.75,23.27,,44.07,14.92,0,83.72
01140121,354.6,53.31,42.55,,37.75,23.5,2,82.81
01140126,357.1,49.91,37.49,,38.8,0.39,2,
01140203,335.9,52.04,50.48,,43.76,35.92,2,81.2
01140204,356.5,46.83,47.78,,38.48,31.34,2,78.81
01140206,264.6,37.05,77.48,,35.89,65.96,2,74.89
01140207,386.6,42.79,39.8,,42.51,7.82,2,83.89
01140209,254.7,34.99,69.02,,36.27,91.23,2,72.81
01140210,332.6,51.48,59.28,,39.5,22.21,2,81.36
01140211,316.7,33.95,51.41,,42.01,48.25,2,78.36
01140212,290.2,38.41,57.8,,41.38,26.36,2,77.2
01140218,332.6,51.48,59.28,,39.5,22.21,2,81.36
01140219,254.7,34.99,69.02,,36.27,91.23,2,72.81
01140223,316.7,33.95,51.41,,42.01,48.25,2,78.36
01140224,307.2,47.48,56.95,,43.72,0.0,2,79.68
01140225,253.0,35.67,71.47,,39.99,77.7,2,69.46
01140231,307.2,47.48,56.95,,43.72,0.0,2,79.68
01140232,260.3,46.65,65.69,,45.8,72.28,2,
01140233,259.2,41.0,82.02,,38.0,36.6,2,
01140313,362.0,48.74,45.34,,37.26,12.5,2,81.74
01140314,466.0,55.97,21.7,,37.24,2.83,2,87.17
01140315,399.1,48.86,29.92,,42.45,0.0,2,87.07
01140316,375.6,47.4,28.15,,42.85,0.93,2,85.71
01140317,428.4,50.91,28.54,,40.44,0.0,2,86.57
01140318,375.6,51.54,35.08,,35.11,2.6,2,
01140327,400.6,47.75,23.27,,44.07,14.92,0,83.72
01150101,404.8,40.63,21.51,,42.33,3.9,0,85.19
01150102,400.1,40.88,13.17,,43.57,0.68,0,87.45
01150103,404.8,40.63,21.51,,42.33,3.9,0,85.19
01150104,341.5,44.55,28.1,,40.48,2.42,2,82.08
01150105,390.3,55.06,21.75,,38.91,0.7,2,87.06
01150106,399.9,52.67,21.01,,36.59,1.41,2,87.38
01150107,298.0,34.89,30.32,,43.91,3.52,2,76.91
01150108,312.1,40.76,24.37,,50.14,21.03,2,76.41
01150109,303.7,46.02,41.71,,37.37,37.43,2,81.16
01150110,446.2,65.54,15.93,,40.32,0.32,2,87.99
01150111,424.3,57.28,18.33,,38.3,9.3,2,87.18
01150112,404.8,40.63,21.51,,42.33,3.9,0,85.19
01150113,464.1,68.55,18.5,,37.69,0.23,2,88.1
01150114,371.3,54.29,16.5,,37.97,0.0,2,86.66
01150115,404.8,40.63,21.51,,42.33,3.9,0,85.19
01150116,390.2,37.25,23.7,,44.57,2.28,0,85.38
01150117,363.6,40.54,19.53,,40.84,5.0,0,83.68
01170001,368.7,49.19,28.4,,41.37,4.2,2,78.86
01170002,309.1,35.98,34.86,,44.97,40.17,2,79.5
01170003,361.9,51.1,22.38,,37.57,0.67,2,86.06
01170004,445.0,54.2,16.33,,41.73,2.26,2,86.31
01170005,383.2,48.92,21.01,,34.86,0.97,2,
01170006,435.3,62.28,22.7,,33.47,2.25,2,86.81
01170007,264.5,31.1,49.11,,43.89,90.61,2,74.73
01170008,353.2,40.89,30.33,,46.41,20.33,2,80.06
01170009,354.8,34.73,13.79,,53.99,6.96,0,80.36
01170010,441.4,55.66,17.35,,40.23,5.7,2,87.46
01170011,395.4,37.64,18.88,,44.86,5.11,0,83.93
01170012,325.6,39.96,37.35,,43.31,18.55,2,81.33
01170013,433.4,54.52,15.69,,40.35,1.54,0,89.29
01170014,367.4,42.09,21.8,,37.64,3.44,2,85.67
01170015,452.6,55.35,15.96,,40.31,0.17,2,
01170016,380.5,50.37,19.37,,39.71,7.31,2,88.62
01170017,469.4,55.38,17.63,,39.23,1.72,2,87.68
01170018,425.8,53.39,23.85,,38.37,1.87,2,86.78
01170019,412.6,52.26,24.18,,38.38,0.32,2,87.68
01170020,334.9,47.53,34.38,,41.89,29.23,2,85.31
01170021,361.9,51.1,22.38,,37.57,0.67,2,86.06
01170022,433.6,60.25,17.32,,44.8,1.45,2,85.41
01170023,383.4,48.78,22.09,,39.44,8.17,2,84.89
01170024,433.6,60.25,17.32,,44.8,1.45,2,85.41
01170025,549.4,68.77,11.81,,43.38,1.3,2,86.18
01200101,392.9,39.27,17.6,,46.93,0.74,2,84.17
01200102,365.0,45.3,13.32,,50.46,5.96,0,79.35
01200103,354.8,34.73,13.79,,53.99,6.96,0,80.36
