typ,nyckel,namn
region,0114,Nordväst
region,0115,Nordost
region,0117,Nordost
region,0120,Ost
region,0123,Nordväst
region,0125,Nordväst
region,0126,Sydost
region,0127,Sydväst
region,0128,Sydväst
region,0136,Sydost
region,0138,Ost
region,0139,Nordväst
region,0140,Sydväst
region,0160,Nordost
region,0162,Nordost
region,0163,Nord
region,0180,1 Södermalm-Enskede
region,0181,Sydväst
region,0182,Ost
region,0183,Nord
region,0184,Nord
region,0186,Ost
region,0187,Nordost
region,0188,Nordost
region,0191,Nordväst
region,0192,Sydost
region,0305,Uppsala läns södra
region,0319,Uppsala läns norra
region,0330,Uppsala läns mellersta
region,0331,Uppsala läns norra
region,0360,Uppsala läns norra
region,0380,Uppsala läns mellersta
region,0381,Uppsala läns södra
region,0382,Uppsala läns norra
region,0428,Region Södermanland
region,0461,Region Södermanland
region,0480,Region Södermanland
region,0481,Region Södermanland
region,0482,Region Södermanland
region,0483,Region Södermanland
region,0484,Region Södermanland
region,0486,Region Södermanland
region,0488,Region Södermanland
region,0509,Ödeshög Ydre Boxholm Mjölby Vadstena
region,0512,Ödeshög Ydre Boxholm Mjölby Vadstena
region,0513,Kinda Åtvid Valdemarsvik Söderköping
region,0560,Ödeshög Ydre Boxholm Mjölby Vadstena
region,0561,Kinda Åtvid Valdemarsvik Söderköping
region,0562,Motala Finspång
region,0563,Kinda Åtvid Valdemarsvik Söderköping
region,0580,Linköping
region,0581,Norrköping
region,0582,Kinda Åtvid Valdemarsvik Söderköping
region,0583,Motala Finspång
region,0584,Ödeshög Ydre Boxholm Mjölby Vadstena
region,0586,Ödeshög Ydre Boxholm Mjölby Vadstena
region,0604,Andra valkretsen
region,0617,Tredje valkretsen
region,0642,Första valkretsen
region,0643,Första valkretsen
region,0662,Tredje valkretsen
region,0665,Tredje valkretsen
region,0680,Första valkretsen
region,0682,Andra valkretsen
region,0683,Tredje valkretsen
region,0684,Andra valkretsen
region,0685,Andra valkretsen
region,0686,Andra valkretsen
region,0687,Andra valkretsen
region,0760,Kronoberg
region,0761,Kronoberg
region,0763,Kronoberg
region,0764,Kronoberg
region,0765,Kronoberg
region,0767,Kronoberg
region,0780,Kronoberg
region,0781,Kronoberg
region,0821,Kalmar 3 Högsby Mönsterås Oskarshamn
region,0834,Kalmar 4  Emmaboda Nybro Torsås
region,0840,Kalmar 6 Borgholm Mörbylånga
region,0860,Kalmar 2 Hultsfred Vimmerby
region,0861,Kalmar 3 Högsby Mönsterås Oskarshamn
region,0862,Kalmar 4  Emmaboda Nybro Torsås
region,0880,Kalmar 5 Kalmar
region,0881,Kalmar 4  Emmaboda Nybro Torsås
region,0882,Kalmar 3 Högsby Mönsterås Oskarshamn
region,0883,Kalmar 1 Västervik
region,0884,Kalmar 2 Hultsfred Vimmerby
region,0885,Kalmar 6 Borgholm Mörbylånga
region,1060,Listerkretsen
region,1080,Karlskronakretsen
region,1081,Ronnebykretsen
region,1082,Karlshamnskretsen
region,1083,Listerkretsen
region,1214,Mellankretsen
region,1230,Mellankretsen
region,1231,Sydvästkretsen II
region,1233,Sydvästkretsen II
region,1256,Nordostkretsen
region,1257,Nordvästkretsen
region,1260,Nordvästkretsen
region,1261,Mellankretsen
region,1262,Sydvästkretsen II
region,1263,Sydvästkretsen II
region,1264,Sydostkretsen
region,1265,Sydostkretsen
region,1266,Mellankretsen
region,1267,Mellankretsen
region,1270,Sydostkretsen
region,1272,Nordostkretsen
region,1273,Nordostkretsen
region,1275,Nordostkretsen
region,1276,Nordvästkretsen
region,1277,Nordvästkretsen
region,1278,Nordvästkretsen
region,1280,Sydvästkretsen I
region,1281,Mellankretsen
region,1282,Mellankretsen
region,1283,Nordvästkretsen
region,1284,Nordvästkretsen
region,1285,Mellankretsen
region,1286,Sydostkretsen
region,1287,Sydvästkretsen II
region,1290,Nordostkretsen
region,1291,Sydostkretsen
region,1292,Nordvästkretsen
region,1293,Nordostkretsen
region,1315,Halland
region,1380,Halland
region,1381,Halland
region,1382,Halland
region,1383,Halland
region,1384,Halland
region,1401,Västra Götalands läns västra
region,1402,Västra Götalands läns västra
region,1407,Västra Götalands läns västra
region,1415,Västra Götalands läns västra
region,1419,Västra Götalands läns västra
region,1421,Västra Götalands läns norra
region,1427,Västra Götalands läns norra
region,1430,Västra Götalands läns norra
region,1435,Västra Götalands läns norra
region,1438,Västra Götalands läns norra
region,1439,Västra Götalands läns norra
region,1440,Västra Götalands läns västra
region,1441,Västra Götalands läns västra
region,1442,Västra Götalands läns södra
region,1443,Västra Götalands läns södra
region,1444,Västra Götalands läns östra
region,1445,Västra Götalands läns östra
region,1446,Västra Götalands läns östra
region,1447,Västra Götalands läns östra
region,1452,Västra Götalands läns södra
region,1460,Västra Götalands läns norra
region,1461,Västra Götalands läns norra
region,1462,Västra Götalands läns västra
region,1463,Västra Götalands läns södra
region,1465,Västra Götalands läns södra
region,1466,Västra Götalands läns södra
region,1470,Västra Götalands läns östra
region,1471,Västra Götalands läns östra
region,1472,Västra Götalands läns östra
region,1473,Västra Götalands läns östra
region,1480,Göteborgs kommun
region,1481,Västra Götalands läns västra
region,1482,Västra Götalands läns västra
region,1484,Västra Götalands läns norra
region,1485,Västra Götalands läns norra
region,1486,Västra Götalands läns norra
region,1487,Västra Götalands läns norra
region,1488,Västra Götalands läns norra
region,1489,Västra Götalands läns västra
region,1490,Västra Götalands läns södra
region,1491,Västra Götalands läns södra
region,1492,Västra Götalands läns norra
region,1493,Västra Götalands läns östra
region,1494,Västra Götalands läns östra
