niva,omrade,matchort,namn,namn_fold,parti,parti_abbr,organ,roll,roll_kategori,sida
kommun,Ale,Ale,Dennis Ljunggren,dennis ljunggren,Socialdemokraterna,S,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Ale,Ale,Henrik Fogelklou,henrik fogelklou,Moderaterna,M,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Ale,Ale,Robert Jansson,robert jansson,Sverigedemokraterna,SD,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
kommun,Ale,Ale,Johnny Sundling,johnny sundling,Socialdemokraterna,S,Socialnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Ale,Ale,Lars Kopp,lars kopp,Moderaterna,M,Socialnämnden,Andre vice ordförande,omsorg/vård,opposition (trol.)
kommun,Ale,Ale,Tyrone Hansson Eklund,tyrone hansson eklund,Framtid i Ale,Framtid i Ale,Socialnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Ale,Ale,Anette Håkansson,anette hakansson,Socialdemokraterna,S,Utbildningsnämnden,Förste vice ordförande,utbildning,styre (trol.)
kommun,Ale,Ale,Kristina Fogelklou,kristina fogelklou,Moderaterna,M,Utbildningsnämnden,Andre vice ordförande,utbildning,opposition (trol.)
kommun,Ale,Ale,Lena Camp,lena camp,Sverigedemokraterna,SD,Utbildningsnämnden,Ordförande,utbildning,styre (trol.)
kommun,Alingsås,Alingsås,Anton César,anton cesar,Socialdemokraterna,S,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Alingsås,Alingsås,Jan-Erik Wallin,jan-erik wallin,Moderaterna,M,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Alingsås,Alingsås,Birgit Börjesson,birgit borjesson,Socialdemokraterna,S,Vård- och omsorgsnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Alingsås,Alingsås,Eva-Lotta Pamp,eva-lotta pamp,Moderaterna,M,Vård- och omsorgsnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Alingsås,Alingsås,Kent Perciwall,kent perciwall,Kristdemokraterna,KD,Socialnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Alingsås,Alingsås,Leif Hansson,leif hansson,Socialdemokraterna,S,Socialnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Alingsås,Alingsås,Alexander Wikhall,alexander wikhall,Socialdemokraterna,S,Kultur- och utbildningsnämnden,Förste vice ordförande,utbildning,styre (trol.)
kommun,Alingsås,Alingsås,Anne Gunnevik,anne gunnevik,Liberalerna,L,Kultur- och utbildningsnämnden,Ordförande,utbildning,styre (trol.)
kommun,Alingsås,Alingsås,Camilla Stensson,camilla stensson,Socialdemokraterna,S,Barn- och ungdomsnämnden,Förste vice ordförande,utbildning,styre (trol.)
kommun,Alingsås,Alingsås,Thomas Thim,thomas thim,Moderaterna,M,Barn- och ungdomsnämnden,Ordförande,utbildning,styre (trol.)
kommun,Alvesta,Alvesta,Claudia Crowley Sörensson,claudia crowley sorensson,Moderaterna,M,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
kommun,Alvesta,Alvesta,Per Ribacke,per ribacke,Socialdemokraterna,S,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Alvesta,Alvesta,Thomas Haraldsson,thomas haraldsson,Centerpartiet,C,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Alvesta,Alvesta,Helén Gustavsson,helen gustavsson,Moderaterna,M,Omsorgsnämnden,Andre vice ordförande,omsorg/vård,opposition (trol.)
kommun,Alvesta,Alvesta,Josefine Ljungqvist,josefine ljungqvist,Kristdemokraterna,KD,Omsorgsnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Alvesta,Alvesta,Lars-Olof Petersson,lars-olof petersson,Socialdemokraterna,S,Omsorgsnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Alvesta,Alvesta,Frida Christensen,frida christensen,Socialdemokraterna,S,Utbildningsnämnden,Ordförande,utbildning,styre (trol.)
kommun,Alvesta,Alvesta,Golnoush Lundén Faez,golnoush lunden faez,Centerpartiet,C,Utbildningsnämnden,Förste vice ordförande,utbildning,styre (trol.)
kommun,Alvesta,Alvesta,Katarina Tuneskog,katarina tuneskog,Moderaterna,M,Utbildningsnämnden,Andre vice ordförande,utbildning,opposition (trol.)
kommun,Aneby,Aneby,Arijana Jazic,arijana jazic,Socialdemokraterna,S,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Aneby,Aneby,Beata Allen,beata allen,Centerpartiet,C,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Aneby,Aneby,Mats Hansson,mats hansson,Moderaterna,M,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
kommun,Arvika,Arvika,Håkan Axelsson,hakan axelsson,Moderaterna,M,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
kommun,Arvika,Arvika,Håkan Axelsson,hakan axelsson,Moderaterna,M,Oppositionsråd,Oppositionsråd,ledning,opposition
kommun,Arvika,Arvika,Jenny Boquist,jenny boquist,Socialdemokraterna,S,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Arvika,Arvika,Peter Söderström,peter soderstrom,Socialdemokraterna,S,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Arvika,Arvika,Börje Wahlund,borje wahlund,Moderaterna,M,Socialnämnden,Andre vice ordförande,omsorg/vård,opposition (trol.)
kommun,Arvika,Arvika,Henrik Axelsson,henrik axelsson,Socialdemokraterna,S,Socialnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Arvika,Arvika,Linda Hansen Grundel,linda hansen grundel,Vänsterpartiet,V,Socialnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Askersund,Askersund,Anna Green,anna green,Socialdemokraterna,S,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
kommun,Askersund,Askersund,Caroline Dieker,caroline dieker,Moderaterna,M,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Askersund,Askersund,Fredrik Wernheden,fredrik wernheden,Liberalerna,L,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Askersund,Askersund,Frida Ahnér,frida ahner,Socialdemokraterna,S,Socialnämnden,Andre vice ordförande,omsorg/vård,opposition (trol.)
kommun,Askersund,Askersund,Niina Iinatti,niina iinatti,Moderaterna,M,Socialnämnden,Ordförande,omsorg/vård,styre (trol.)
kommun,Askersund,Askersund,Ulrika Lindblad,ulrika lindblad,Moderaterna,M,Socialnämnden,Förste vice ordförande,omsorg/vård,styre (trol.)
kommun,Askersund,Askersund,Daniel Ohron,daniel ohron,Kristdemokraterna,KD,Barn- och utbildningsnämnden,Förste vice ordförande,utbildning,styre (trol.)
kommun,Askersund,Askersund,Johanna Martin,johanna martin,Moderaterna,M,Barn- och utbildningsnämnden,Ordförande,utbildning,styre (trol.)
kommun,Askersund,Askersund,Ronny Larsson,ronny larsson,Socialdemokraterna,S,Barn- och utbildningsnämnden,Andre vice ordförande,utbildning,opposition (trol.)
kommun,Bengtsfors,Bengtsfors,Anders Sandén,anders sanden,Socialdemokraterna,S,Kommunstyrelsen,Förste vice ordförande,ledning,styre (trol.)
kommun,Bengtsfors,Bengtsfors,Per Eriksson,per eriksson,Socialdemokraterna,S,Kommunstyrelsen,Ordförande,ledning,styre (trol.)
kommun,Bengtsfors,Bengtsfors,Stig Bertilsson,stig bertilsson,Moderaterna,M,Kommunstyrelsen,Andre vice ordförande,ledning,opposition (trol.)
